config,dataset,unit,n,ac1,p_rw,p_iaaft
B,WESAD,S2,202,0.9854636539226399,0.8675496688741722,0.543046357615894
B,WESAD,S3,216,0.990197751292582,0.8013245033112583,0.3708609271523179
B,WESAD,S4,214,0.9887231648779115,1.0,1.0
B,WESAD,S5,208,0.990442238253711,1.0,1.0
B,WESAD,S6,235,0.99083463867766,1.0,1.0
B,WESAD,S7,174,0.9889861915712844,1.0,1.0
B,WESAD,S8,182,0.9882412734381291,1.0,1.0
B,WESAD,S9,174,0.994623717680787,1.0,1.0
B,WESAD,S10,183,0.9936058269851126,0.18543046357615894,0.18543046357615894
B,WESAD,S11,174,0.9926508312980772,0.543046357615894,0.26490066225165565
B,WESAD,S13,184,0.9942785387510403,1.0,1.0
B,WESAD,S14,184,0.9508207756855583,0.6490066225165563,0.44370860927152317
B,WESAD,S15,175,0.9951022742774859,0.8741721854304636,0.31125827814569534
B,WESAD,S16,187,0.9972119184131674,0.6225165562913907,0.2980132450331126
B,WESAD,S17,197,0.9910732892754699,1.0,1.0
B,EXAM,Final,779,0.9968942936491616,1.0,1.0
B,EXAM,Midterm 1,372,0.987834051577151,1.0,1.0
B,EXAM,Midterm 2,371,0.9878693630368715,0.09271523178807947,0.026490066225165563
B,EXAM,Final,769,0.9925647247508007,1.0,1.0
B,EXAM,Midterm 1,389,0.9908828825817438,1.0,1.0
B,EXAM,Midterm 2,433,0.99723411860507,1.0,1.0
B,EXAM,Final,844,0.9820525555977591,0.25165562913907286,0.026490066225165563
B,EXAM,Midterm 1,399,0.9546534629151703,0.1390728476821192,0.40397350993377484
B,EXAM,Midterm 2,462,0.9721210907506309,1.0,1.0
B,EXAM,Final,860,0.9860731999676571,1.0,1.0
B,EXAM,Midterm 1,407,0.9812515867486826,0.24503311258278146,0.059602649006622516
B,EXAM,Midterm 2,341,0.9885954453343843,1.0,1.0
B,EXAM,Final,530,0.9929213419476508,1.0,1.0
B,EXAM,Midterm 1,389,0.9861866663182175,1.0,1.0
B,EXAM,Midterm 2,446,0.9869517406356206,0.10596026490066225,0.3708609271523179
B,EXAM,Final,508,0.9796331541708683,1.0,1.0
B,EXAM,Midterm 1,400,0.9594539992263476,1.0,1.0
B,EXAM,Midterm 2,400,0.98265895302762,0.5960264900662252,0.9735099337748344
B,EXAM,Final,797,0.9850789745231303,0.6887417218543046,0.16556291390728478
B,EXAM,Midterm 1,371,0.9765213676434858,1.0,1.0
B,EXAM,Midterm 2,473,0.9676859109261723,1.0,1.0
B,EXAM,Final,654,0.9873798865640546,0.052980132450331126,0.033112582781456956
B,EXAM,Midterm 1,412,0.9882928807088792,1.0,1.0
B,EXAM,Midterm 2,360,0.9797001379092696,1.0,1.0
B,EXAM,Final,596,0.9816983866717467,1.0,1.0
B,EXAM,Midterm 1,359,0.9693815197867648,1.0,1.0
B,EXAM,Midterm 2,332,0.8681970498761613,0.36423841059602646,0.12582781456953643
B,EXAM,Final,473,0.9853718261257547,1.0,1.0
B,EXAM,Midterm 1,422,0.9771740688972771,0.8940397350993378,0.8940397350993378
B,EXAM,Midterm 2,414,0.9827195124826091,1.0,1.0
B,NURSE,15_1594140175,260,0.9555135307727985,0.006622516556291391,0.033112582781456956
B,NURSE,6B_1587569373,520,0.9866379057088609,0.006622516556291391,0.4503311258278146
B,NURSE,7E_1603292452,552,0.9809225859267234,1.0,1.0
B,NURSE,83_1603929757,1212,0.9910710493746155,1.0,1.0
B,NURSE,CE_1586788313,545,0.987263198558764,0.46357615894039733,0.6754966887417219
B,NURSE,DF_1594231189,374,0.870098087955034,1.0,1.0
B,NURSE,E4_1587206108,518,0.9851234827125706,1.0,1.0
B,NURSE,EG_1603463571,1160,0.9157868888969258,1.0,1.0
B,NURSE,F5_1594141473,481,0.9923331709722268,1.0,1.0
B,NURSE,15_1594149654,70,0.9768562476503706,0.5033112582781457,0.0728476821192053
B,NURSE,5C_1586886712,784,0.9987932511536094,1.0,1.0
B,NURSE,6B_1587585327,526,0.9696568161403999,0.7615894039735099,0.7019867549668874
B,NURSE,6D_1594757863,94,0.9548198320525727,1.0,1.0
B,NURSE,7A_1587228286,566,0.9972182012120226,1.0,1.0
B,NURSE,7E_1603309557,147,0.9239255612901137,0.44370860927152317,0.3973509933774834
B,NURSE,83_1603966680,316,0.9925633142195661,1.0,1.0
B,NURSE,8B_1594153037,85,0.9080307888699496,0.006622516556291391,0.006622516556291391
B,NURSE,BG_1603681317,98,0.7604758229784975,0.6754966887417219,0.8344370860927153
B,NURSE,DF_1594296700,218,0.909134229484124,1.0,1.0
B,NURSE,E4_1587236732,62,0.9134869457375069,0.8211920529801324,0.7748344370860927
B,NURSE,15_1594213322,183,0.9517785842466854,0.7947019867549668,0.5099337748344371
B,NURSE,5C_1587297777,1072,0.9950562764049542,0.11920529801324503,0.16556291390728478
B,NURSE,6B_1587653438,163,0.9668283152461301,0.15894039735099338,0.2781456953642384
B,NURSE,6D_1594831043,262,0.9118620935134301,1.0,1.0
B,NURSE,7A_1587298286,455,0.9955834119482007,1.0,1.0
B,NURSE,83_1604016419,1502,0.9832898346499216,1.0,1.0
B,NURSE,94_1587209323,1212,0.9651626844870989,1.0,1.0
B,NURSE,BG_1603685056,63,0.8566899558798399,1.0,1.0
B,NURSE,CE_1587568353,1091,0.9653070160477822,1.0,1.0
B,NURSE,DF_1594305457,657,0.9441419948086597,0.5894039735099338,0.8278145695364238
B,NURSE,E4_1587241555,377,0.9770068864822451,0.09933774834437085,0.17880794701986755
B,NURSE,F5_1594218280,161,0.9579614532514932,1.0,1.0
B,NURSE,15_1594220239,495,0.9758379686944845,0.5761589403973509,0.17880794701986755
B,NURSE,5C_1587336033,80,0.9812208334059206,0.6556291390728477,0.2052980132450331
B,NURSE,6D_1594910470,682,0.9839262040207799,0.4966887417218543,0.31125827814569534
B,NURSE,7A_1587326219,91,0.9952040358882455,0.006622516556291391,0.006622516556291391
B,NURSE,83_1604103283,1454,0.9932707157210747,1.0,1.0
B,NURSE,94_1587293342,406,0.9816651330272377,1.0,1.0
B,NURSE,CE_1587640779,205,0.9073603344644122,1.0,1.0
B,NURSE,DF_1594385893,315,0.9502253010361245,1.0,1.0
B,NURSE,EG_1603574790,392,0.9436283481543263,0.24503311258278146,0.36423841059602646
B,NURSE,F5_1594223270,382,0.9410319465861765,1.0,1.0
C,WESAD,S2,202,0.9976144953826472,1.0,1.0
C,WESAD,S3,216,0.9984364871283498,0.17880794701986755,0.13245033112582782
C,WESAD,S4,214,0.999038894450992,0.26490066225165565,0.0728476821192053
C,WESAD,S5,208,0.9964150394884111,0.033112582781456956,0.08609271523178808
C,WESAD,S6,235,0.9985367331544572,0.8278145695364238,0.543046357615894
C,WESAD,S7,174,0.9920214074573427,0.006622516556291391,0.013245033112582781
C,WESAD,S8,182,0.999162422056214,0.033112582781456956,0.006622516556291391
C,WESAD,S9,174,0.9983856209588415,1.0,1.0
C,WESAD,S10,183,0.9990116913802459,0.8145695364238411,0.8278145695364238
C,WESAD,S11,174,0.9995624150776586,1.0,1.0
C,WESAD,S13,184,0.9983264814539555,0.006622516556291391,0.006622516556291391
C,WESAD,S14,184,0.996251071170871,1.0,1.0
C,WESAD,S15,175,0.9679158918856801,1.0,1.0
C,WESAD,S16,187,0.9939441898325336,1.0,1.0
C,WESAD,S17,197,0.9925936964029335,0.48344370860927155,0.2980132450331126
C,EXAM,Final,779,0.9977847760560397,0.4768211920529801,0.026490066225165563
C,EXAM,Midterm 1,372,0.999628984507647,1.0,1.0
C,EXAM,Midterm 2,371,0.9963877951711748,0.3509933774834437,0.2582781456953642
C,EXAM,Final,769,0.9968514262326572,1.0,1.0
C,EXAM,Midterm 1,389,0.9996461336856508,1.0,1.0
