dataset,subject,n,beta0,beta_S,beta_T,beta_U,alpha0,alpha_A,lam,sigma,eps,identified,mean_a,mean_b,pct_bistable,nll,aic,cusp_identified,lam_t,lam_p_nominal,pct_calm,pct_focused,pct_stuck,pct_overloaded,pct_recovering
WESAD,S2,202,18.371642534082106,-13.623620916941093,3.157964120624305,-1.7010458859396336,-47.13407148287808,-46.32432786980979,0.011120055766940083,1.0976373315551935,0.023486127595540467,True,-69.45132341875663,14.027719503326757,0.0,303.931803042837,625.863606085674,True,0.6823737106976636,0.2479083119076046,0.24257425742574257,0.16336633663366337,0.0,0.594059405940594,0.0
WESAD,S3,216,-0.2861240062388342,5.511574548234161,-0.7054012838203375,-0.5043191519346557,-22.03926238852876,8.224346441858643,0.027763467917556378,1.1481685651119007,0.3,True,-16.548398757764286,1.7776900074481696,0.0,334.7779306195029,687.5558612390058,True,1.9915153112967516,0.023866294943382653,0.2916666666666667,0.17592592592592593,0.0,0.5324074074074074,0.0
WESAD,S4,214,,,,,,,0.0,1.049715925274025,0.3,False,,,,312.5685781566483,643.1371563132966,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S5,208,7.97793700099566,13.272768099930756,-5.461311612518163,0.6694915587986888,-56.97740029368826,-66.53456921370616,0.013400609362352451,1.2696208225290975,0.001,True,-60.83356172351507,4.818259419927697,0.0,343.1349626007204,704.2699252014409,True,0.7641459246223139,0.2228404327007471,0.21153846153846154,0.23076923076923078,0.0,0.5576923076923077,0.0
WESAD,S6,235,2.023050850162557,-5.5728839338003535,-2.531310593343502,-2.904479953757318,-11.475683734557071,-157.72390136327803,0.02796005063111513,1.0336770280734966,0.001,True,-21.416910215495854,-1.5583568419846479,0.0,339.78225259812797,697.5645051962559,True,1.8108172822057411,0.03574558021877515,0.2680851063829787,0.22127659574468084,0.0,0.5106382978723404,0.0
WESAD,S7,174,,,,,,,0.0,0.8697753825743141,0.0026879121942775448,False,,,,221.33935752466553,460.67871504933106,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S8,182,,,,,,,0.0,1.151051835454814,0.005367706872373401,False,,,,282.2902601711004,582.5805203422008,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S9,174,,,,,,,0.0,1.0301965277914014,0.3,False,,,,250.62304492028144,519.246089840563,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S10,183,,,,,,,0.0,1.3163059023906487,0.001,False,,,,308.26573736520663,634.5314747304133,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S11,174,5.592899884370195,-3.6107252290884615,-13.003085238826129,1.0043286940032081,-23.88253804940815,-10.268810642096867,0.01855541461272015,1.2329105243700584,0.3,True,-29.9019259604639,3.02133286198173,0.0,281.69870040858484,581.3974008171697,True,0.7942957491146869,0.2140786674392841,0.27011494252873564,0.1781609195402299,0.0,0.5517241379310345,0.0
WESAD,S13,184,,,,,,,0.0,1.4081761673596724,0.19539000046657934,False,,,,322.3058040618303,662.6116081236606,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S14,184,,,,,,,0.0,1.2917272942417823,0.001764702684538837,False,,,,306.51014840036714,631.0202968007343,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S15,175,1.184062808233026,10.182883495645667,-5.497396671148109,-2.215497471891681,-36.921626200218235,19.681707048632852,0.030384514875427825,1.2430235959823261,0.3,True,-23.9510866975483,2.817341261210849,0.0,284.74844718409804,587.4968943681961,True,1.3923537830087116,0.0828332491541577,0.21142857142857144,0.21714285714285714,0.0,0.5714285714285714,0.0
WESAD,S16,187,,,,,,,0.0,1.5042797695191492,0.01587749922904908,False,,,,339.86901306255425,697.7380261251085,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
WESAD,S17,197,,,,,,,0.0,1.004628027692558,0.001,False,,,,279.0169533629453,576.0339067258906,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
EXAM,S1,779,6.418574481066408,-2.9784363885757363,-1.2182280467652382,-9.675227712694937,-14.155841759202424,-0.4305394945519331,0.02929003573394072,1.26367512576616,0.3,True,-14.445445220261291,-2.0318855629935695,0.0,1286.0050390583158,2590.0100781166316,True,3.9410557506762696,4.424658259926552e-05,0.4159178433889602,0.08087291399229782,0.0,0.503209242618742,0.0
EXAM,S1,372,16.878852508601067,-61.62168967094984,-24.00891615497928,-13.843766463396472,-145.6341242655337,30.43298781815928,0.004110669968620096,1.3724069605806675,0.05373561024710726,True,-129.64494840757695,-52.73641626306929,0.0,643.8722203362101,1305.7444406724203,True,0.4395650002432835,0.3302565217782568,0.3682795698924731,0.13440860215053763,0.0,0.49731182795698925,0.0
EXAM,S1,371,-1.8397228337227352,-5.327986417357408,1.9164284544247956,-4.635435318147836,-32.93462678713324,15.943142913767891,0.023804575859118316,1.331371391884195,0.18016374973710955,True,-21.900496327309735,-7.848468453587767,0.0026954177897574125,630.9047843885234,1279.8095687770467,True,1.988596391427489,0.023748125334364503,0.3584905660377358,0.16172506738544473,0.0,0.477088948787062,0.0026954177897574125
EXAM,S10,769,4.246507402987948,-4.622167587505152,-1.8859141681913427,-3.9541710981038554,-15.509013132805265,4.556213969349816,0.029171162004783483,1.144947736029947,0.3,True,-12.35417997628714,-3.050290050806733,0.0,1193.7004982633478,2405.4009965266955,True,4.1091532370456125,2.2010924042637008e-05,0.3992197659297789,0.08192457737321196,0.0,0.5188556566970091,0.0
EXAM,S10,389,-14.201739500155309,-6.719886761979306,1.7799636313782654,-2.0440062637714207,-23.683607780500857,20.202182768851685,0.02353641484549987,1.2480645875991951,0.2638224739554262,True,-12.651260294485724,-20.850810447397052,0.005141388174807198,636.526631222337,1291.053262444674,True,2.7198218627514863,0.0034153802372707998,0.41131105398457585,0.10025706940874037,0.002570694087403599,0.4832904884318766,0.002570694087403599
EXAM,S10,433,19.691806072745113,-7.487235234328785,-7.8024709230803895,-12.520434549813755,-31.99019963134206,-41.95234812119845,0.015657865822374148,1.358861895762348,0.001,True,-37.01334476322012,2.0556178509054597,0.0,745.4531698218251,1508.9063396436502,True,1.5239633350722797,0.0641308035963994,0.3533487297921478,0.10854503464203233,0.0,0.5381062355658198,0.0
EXAM,S2,844,,,,,,,0.0,1.6784250571136083,0.001,False,,,,1632.7176968355263,3283.4353936710527,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
EXAM,S2,399,-4.46330651775804,-7.442023153699115,0.7193066237424062,-0.8504463779108286,-4.339217121679982,-14.4422199663772,0.025442331249157582,1.2670336517255638,0.016780742668094328,True,-9.662864937133492,-10.280369246292052,0.0,658.9355637525754,1335.8711275051508,True,3.5017073052477845,0.0002578223335249102,0.39348370927318294,0.12531328320802004,0.0,0.48120300751879697,0.0
EXAM,S2,462,1.9581289657262348,-2.7665908976404645,-3.2667966143736726,-0.335670133393127,-4.919103857987403,-32.16468435277219,0.02683105856219966,1.4163960561374067,0.0016135601328226238,True,-11.505190575412955,-2.92077280708054,0.0,814.611981603495,1647.22396320699,True,3.2445643024470594,0.0006315906072939489,0.30735930735930733,0.13636363636363635,0.0,0.5562770562770563,0.0
EXAM,S3,860,36.16650704787191,-16.457033151965554,-11.627876439068963,-11.55572238654538,-42.02198531811535,-18.606458063495925,0.012130325618104645,1.3306102385380683,0.001,True,-45.043730890750005,3.63088098938051,0.0,1464.2309525172107,2946.4619050344213,True,1.8980520551688063,0.029013484418415517,0.413953488372093,0.09186046511627907,0.0,0.4941860465116279,0.0
EXAM,S3,407,-2.3107093921469946,-5.359622405112796,0.03509373971081915,-0.22635439923463116,-8.529113600380075,6.795008014505974,0.05143864992227913,1.0359946376493823,0.3,True,-4.25252652532105,-6.3651980165145,0.02702702702702703,590.4460034118703,1198.8920068237405,True,4.656497820735142,2.193338629209113e-06,0.4275184275184275,0.06388206388206388,0.002457002457002457,0.48157248157248156,0.02457002457002457
EXAM,S3,341,-8.239414642530821,-0.8384314353432208,9.894982796634581,8.361030371400732,-95.88336930837586,34.238559132520315,0.00988619398635505,1.5779134617529158,0.13194390664262126,True,-69.4431368909422,-1.1539177897094455,0.005865102639296188,637.5142506456916,1293.0285012913832,True,1.0108301958106538,0.15641580890292345,0.25219941348973607,0.26099706744868034,0.002932551319648094,0.4809384164222874,0.002932551319648094
EXAM,S4,530,-18.163517594522617,-17.359258165457273,11.888842519761546,2.2618457445713784,-59.31669905407616,24.20161057249023,0.01043551012326275,1.3527836990341133,0.06673208502679345,True,-42.2144332267258,-16.114912092067254,0.05849056603773585,910.4634880246379,1838.9269760492757,True,1.4298324006870866,0.07668167788260802,0.24528301886792453,0.27547169811320754,0.0,0.4207547169811321,0.05849056603773585
EXAM,S4,389,1.4305550088732544,-32.6754728584415,-8.7331705401608,0.09273474511066834,-75.62236100667532,36.26061405613982,0.009745981499193852,1.503171405547388,0.03748972912059817,True,-56.24329425870156,-30.458315691629654,0.0,708.6880837443767,1435.3761674887535,True,1.271048868838188,0.10224336595822388,0.3676092544987147,0.13624678663239073,0.0,0.4961439588688946,0.0
EXAM,S4,446,,,,,,,0.0,1.075614931790647,0.3,False,,,,663.8648220606475,1345.729644121295,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
EXAM,S5,508,83.30372397780346,-103.60537924210236,-75.48629262973647,-96.96936262987936,-513.3739250298568,90.20463650377194,0.001603174836495279,1.6348709393087013,0.3,True,-439.40421419139176,16.637023857940758,0.0,968.6247159054665,1955.249431810933,True,0.18076072979184435,0.4283143160904561,0.3031496062992126,0.20275590551181102,0.0,0.4940944881889764,0.0
EXAM,S5,400,-13.355185573900163,-0.04628050325935313,-2.4385261436782617,0.688182134456703,-13.276842934758728,17.997791246423116,0.0335966175225376,1.136097492106946,0.10559883694781458,True,-4.48186962320123,-13.91760183390455,0.0275,617.0685304648382,1252.1370609296764,True,3.414974330587429,0.0003522516020060587,0.3575,0.1475,0.015,0.4675,0.0125
EXAM,S5,400,,,,,,,0.0,1.693342607535363,0.00771527325526894,False,,,,776.3115502181643,1570.6231004363285,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
EXAM,S6,797,16.60892003426337,-2.7484172784595624,-9.919254236789756,-19.225435225808802,-66.99711296851926,30.692581662426196,0.009360419465330089,1.2761709752870878,0.003961650185038896,True,-56.31108905452751,-3.622466852947777,0.0,1323.5909510488584,2665.181902097717,True,1.571799070128339,0.05819903046479094,0.3713927227101631,0.11417816813048934,0.0,0.5144291091593476,0.0
EXAM,S6,371,-13.23950724080825,-10.999782099763578,-2.0145320745149577,-1.025973066492188,-15.36541694536847,14.913879317710377,0.032013226351191346,1.2327797587101774,0.3,True,-9.188359953347577,-17.8144723000585,0.0,602.4377440806703,1222.8754881613406,True,3.6176974378396274,0.0001696731497070064,0.42318059299191374,0.07816711590296496,0.0,0.49865229110512127,0.0
EXAM,S6,473,,,,,,,0.0,1.246691764812692,0.3,False,,,,773.8118983185585,1565.623796637117,False,0.0,0.5,0.0,0.0,0.0,0.0,0.0
