dataset,subject,lrt_stat,p_nested,alpha0_full,n_boot,lam_t_obs,lam_t_null_p95,p_rw_lam_t,lr_obs,lr_null_p95,p_rw_lr,bimodality_obs,bimodality_null_p95,p_rw_bimodality,alpha0_obs,alpha0_null_p95,p_rw_alpha0
WESAD,S2,0.9761048100685912,0.5544554455445545,-47.13407148287808,100,0.6823737106976636,2.8598499833823654,0.7425742574257426,0.9761048100685912,12.217121886389407,0.8415841584158416,-16.923739574116325,98.342333444107,1.0,-47.13407148287808,11.729101905178656,0.9893617021276596
WESAD,S3,6.318009680799605,0.0594059405940594,-22.03926238852876,100,1.9915153112967516,3.4851992605747855,0.2871287128712871,6.318009680799605,12.02378148421372,0.25742574257425743,-15.258581710047565,142.47279823419728,0.9504950495049505,-22.03926238852876,13.611482393539816,0.956989247311828
WESAD,S4,0.7929080637682091,0.3465346534653465,,100,0.0,3.2188854444393664,1.0,0.7929080637682091,11.22613576289786,0.8415841584158416,-16.678619798406316,110.95424413087036,1.0,,12.336363963784201,
WESAD,S5,0.20943859461908687,0.9108910891089109,-56.97740029368826,100,0.7641459246223139,3.0921917487871804,0.7722772277227723,0.20943859461908687,9.390653901084196,0.9801980198019802,-11.323943920259012,147.61290278556712,0.9207920792079208,-56.97740029368826,15.253534822639072,0.989010989010989
WESAD,S6,3.1049530231179006,0.24752475247524752,-11.475683734557071,100,1.8108172822057411,3.671257879541077,0.36633663366336633,3.1049530231179006,13.139160421938211,0.6039603960396039,-5.285056688237205,144.38581864543482,0.8316831683168316,-11.475683734557071,12.378994399037548,0.9587628865979382
WESAD,S7,3.837731155024983,0.6435643564356436,,100,0.0,3.3362889705625838,1.0,3.837731155024983,15.22142551906181,0.5445544554455446,-11.252131650659976,93.39486194684355,0.9207920792079208,,11.83604322351764,
WESAD,S8,2.7407194710193608,0.15841584158415842,,100,0.0,2.752211170017813,1.0,2.7407194710193608,11.47610828732283,0.5643564356435643,-13.439115758637854,99.85793668449604,0.9801980198019802,,21.658740247435794,
WESAD,S9,5.743779808300417,0.5643564356435643,,100,0.0,3.228777396946559,1.0,5.743779808300417,10.478834420804912,0.297029702970297,-13.581386602459247,118.4086854370716,0.9603960396039604,,11.372271685355225,
WESAD,S10,6.046367431309818,0.0594059405940594,,100,0.0,3.1924042804366226,1.0,6.046367431309818,12.312297795448394,0.2871287128712871,-15.826204001963674,88.33034625057601,1.0,,16.373219456996317,
WESAD,S11,1.4304117383586572,0.45544554455445546,-23.88253804940815,100,0.7942957491146869,3.3710980970679243,0.693069306930693,1.4304117383586572,11.160770588931138,0.7029702970297029,-14.251418528583486,93.42338712758446,0.9504950495049505,-23.88253804940815,13.54415107264915,0.9782608695652174
WESAD,S13,0.6113755445170455,0.1485148514851485,,100,0.0,3.1640094518667308,1.0,0.6113755445170455,11.05752434377477,0.9207920792079208,-3.761789834145702,98.09608190277892,0.8613861386138614,,36.77774244745562,
WESAD,S14,0.8187122749487799,0.6138613861386139,,100,0.0,3.1438538924790955,1.0,0.8187122749487799,10.880346141621095,0.8613861386138614,0.3282321614661896,117.73487697375135,0.7821782178217822,,24.035164885504308,
WESAD,S15,9.277818921978337,0.019801980198019802,-36.921626200218235,100,1.3923537830087116,2.936241191261114,0.504950495049505,9.277818921978337,11.078807329947267,0.1188118811881188,-8.037356529879958,91.04872881774904,0.8811881188118812,-36.921626200218235,21.335312265491698,1.0
WESAD,S16,12.023756400614388,0.009900990099009901,,100,0.0,2.7263776604011767,1.0,12.023756400614388,9.635101682965644,0.009900990099009901,6.068317016893616,92.74631976698899,0.6534653465346535,,26.49363181491556,
WESAD,S17,3.4993170581963113,0.04950495049504951,,100,0.0,3.27006602396298,1.0,3.4993170581963113,13.075363013420853,0.5445544554455446,-2.250696362054782,109.65551986476412,0.8217821782178217,,9.43448876214559,
EXAM,S1,0.047057759007657296,1.0,-14.155841759202424,100,3.9410557506762696,3.091612086627129,0.019801980198019802,0.047057759007657296,10.864098367897626,0.9702970297029703,103.47899580320609,498.17204851416216,0.6336633663366337,-14.155841759202424,22.17677809033761,0.9263157894736842
EXAM,S1,0.8707344588056003,0.7425742574257426,-145.6341242655337,100,0.4395650002432835,2.934852094433965,0.8118811881188119,0.8707344588056003,9.764511941175105,0.900990099009901,44.77055435428633,239.1978350309767,0.5445544554455446,-145.6341242655337,23.71179830457164,1.0
EXAM,S1,21.212174350062924,0.009900990099009901,-32.93462678713324,100,1.988596391427489,3.55673437595154,0.3069306930693069,21.212174350062924,13.569737256307628,0.009900990099009901,23.957324805263397,245.95531966764716,0.6732673267326733,-32.93462678713324,21.218296432909277,0.9565217391304348
EXAM,S10,6.525795208273394,0.019801980198019802,-15.509013132805265,100,4.1091532370456125,3.0923845306292703,0.019801980198019802,6.525795208273394,12.292335194300323,0.22772277227722773,74.630440072895,444.8285549995677,0.6138613861386139,-15.509013132805265,25.479326159454388,0.968421052631579
EXAM,S10,15.152037212576943,0.009900990099009901,-23.683607780500857,100,2.7198218627514863,3.3644944199398643,0.18811881188118812,15.152037212576943,13.02465932854232,0.039603960396039604,99.65992942835715,280.7287401931177,0.33663366336633666,-23.683607780500857,31.328009649710925,0.946236559139785
