dataset,subject,CHM,Markov,Logistic,HMM,OU,GBM
WESAD,S2,-1.6407102023487365,-1.0185055478883827,,-6.5905681845442645,-1.5837592010386128,-3.979362091835392
WESAD,S3,-1.6837988976433773,-1.0268319775005559,,-10.987475063754403,-1.6321041966997378,-4.311236746105267
WESAD,S5,-1.7005056729628163,-1.0527283605463849,,-5.05536431924668,-1.6883352591605854,-4.232330162778323
WESAD,S6,-1.5719978164053512,-1.0614491938408874,,-6.154305643872668,-1.5152849437074818,-4.476914005678106
EXAM,S1,-1.7012424209473291,-0.7239841741385524,,-72.06669555590322,-1.7053120244169826,-6.452212201964071
EXAM,S1,-1.873563989124213,-0.9130829773201441,,-12.160916716776441,-1.8055735345675583,-7.151922248634458
EXAM,S1,-1.7722582241710783,-0.9928997205214047,,-16.707710832799243,-1.794988357304804,-5.515291181536731
EXAM,S10,-1.6239865683192058,-0.7879429550137511,,-1.131467626187121,-1.6169668539822695,-5.5644949833401
EXAM,S10,-1.7715408279429912,-0.8194357612596651,,-6.068181795675759,-1.801886170169676,-7.376061937124665
EXAM,S10,-1.7883512101696084,-0.8955682446128689,,-218.7849798411698,-1.7810238675873122,-4.896065903403072
EXAM,S2,-1.8939683159349698,-0.9555477279281794,,-3.1501890843512603,-1.8450426670656719,-10.52577829667316
EXAM,S2,-1.819812229040845,-0.8382406250447447,,-3.6397492236888382,-1.8182858467638865,-7.71074771696171
EXAM,S3,-1.755560639256163,-0.7840592294383967,,-0.4249242546747743,-1.7464505077305639,-4.337419812385077
EXAM,S3,-1.5667880649487933,-0.7738199289230998,,-5.248244890229648,-1.6257779218991089,-10.507881652354689
EXAM,S3,-1.923752492348828,-1.0547190109294888,,-6.602024821062871,-2.046304945602337,-6.192304975927978
EXAM,S4,-1.99671723901398,-1.1498411572625433,,-6.300196132201648,-1.9350343306436635,-10.544725843576334
EXAM,S4,-1.9967693425593092,-0.9675916251262002,,-3.9458666619176967,-1.9500134356200103,-7.746924299231827
EXAM,S5,-1.953649817421116,-1.0032613296269506,,-5.990212417311509,-1.9477260920453368,-7.7213965153995785
EXAM,S5,-1.6330801827755637,-0.9377498531163347,,-4.455426694376339,-1.6923717673292387,-6.341763277081887
EXAM,S6,-1.7246526091311103,-0.8669705268237322,,-0.1360404388130938,-1.7279859404851954,-5.500289064640187
EXAM,S6,-1.7986196469359055,-0.7629031108166532,,-5.500874279762853,-1.8669743683373117,-7.370502779580745
EXAM,S7,-1.7277867329090193,-0.8597557426960485,,-0.8712274387669986,-1.7268141626333395,-4.979069228042895
EXAM,S7,-1.7103710727967765,-0.6525638942601859,,-5.662268326139294,-1.757544172896465,-7.785901942182425
EXAM,S7,-1.7739038755287524,-0.99858002869804,,-4.248459666498755,-1.76768472854613,-5.796263717223702
EXAM,S8,-1.7979912301072585,-1.0308407754174411,,-4.559003369709592,-1.8721526599565308,-7.652923303699646
EXAM,S8,-1.801070971095013,-1.0431370419235955,,-7.073444927226521,-1.9282003454878907,-4.7797396963208785
EXAM,S9,-1.7107933577279026,-0.7843066304701386,,-1.1046267400453054,-1.7158273643142277,-6.413649569152744
EXAM,S9,-1.8629718486171811,-0.971615764628259,,-1.6482854644309506,-1.8603705079418311,-5.793175436859416
