dataset,subject,identified,CHM,CHM_nfolds,Markov,Markov_nfolds,Logistic,Logistic_nfolds,HMM,HMM_nfolds,OU,OU_nfolds,GBM,GBM_nfolds
WESAD,S2,True,0.21927456532465253,3,-0.7260291570690462,5,-1.0087235949962694,5,-7.874278991173748,5,0.008143355354952319,5,-7.3682867226767215,5
WESAD,S3,True,-0.20077334987246045,4,-0.7627670876427083,5,-1.1606541822495244,5,-77.65253873600739,5,0.13758386378508666,5,-28.870362406352807,5
WESAD,S4,False,,0,,0,,0,-12.814832384544848,5,-0.13300490610521343,5,-7.0307651586670845,5
WESAD,S5,False,-97.3926608756424,1,,0,,0,-8.536831929406562,5,0.31966909365923996,5,-14.251138963169504,5
WESAD,S6,False,0.8360095551062593,1,,0,,0,-8.615320666851437,5,0.06415437164451739,5,-8.018285933896715,5
EXAM,S1,False,-3.5637997317213697,1,,0,,0,-12.400913457094457,5,1.530941539895671,5,-15.819391573321322,5
EXAM,S1,False,,0,,0,,0,-39.886504448704514,5,-0.21209468968506617,5,-2.4000521279055356,5
EXAM,S1,True,0.6832833550391763,4,-0.45187244369469737,5,-1.7620054814166415,5,-17.17533282840467,5,0.5251935025266088,5,-52.23942607613161,5
EXAM,S10,False,-0.5941779180550516,1,,0,,0,-12.385818890379518,5,0.8126082448142015,5,-51.928470972304936,5
EXAM,S10,False,0.058025066943200254,1,,0,,0,-3.3823774369323383,5,0.8573485727654779,5,-8.547356292491425,5
EXAM,S10,False,,0,,0,,0,-22.685021129388062,5,1.6014886959319452,5,-14.99928218738724,5
EXAM,S2,True,0.6625073380196654,3,-0.5051900139445988,5,-1.3033019299821864,5,-3.2152950610373217,5,0.020156433448322762,5,-9.310581814644252,5
EXAM,S2,True,-0.41951962150468364,4,-0.4498228621729189,5,-0.7380795224323728,5,-2.547787115481112,5,-0.5591908486072588,5,-13.107609620782494,5
EXAM,S2,False,-0.2349349364732301,1,,0,,0,-5.434614743247363,5,-0.13066775475524536,5,-9.131063531581487,5
EXAM,S3,False,,0,,0,,0,-35.09838519084728,5,0.12402084007139128,5,-3.0554084039631957,5
EXAM,S3,True,0.24491934639862756,3,-0.5799424022323886,5,-0.7075849537451125,5,-2.931716212296714,5,-0.392761036055956,5,-28.50577796710337,5
EXAM,S3,False,-0.8120512866436578,2,,0,,0,-8.148363737822006,5,0.13201617887515216,5,-14.94326876554005,5
EXAM,S4,False,,0,,0,,0,-8.476278905762701,5,0.3331275497784766,5,-208.26808210164717,5
EXAM,S4,False,-45.56902627128476,1,,0,,0,-5.8039594822156335,5,-0.6916739527755393,5,-118.58155398225536,5
EXAM,S4,True,0.47380863053164646,4,-0.521052206787048,5,-0.8569871249830763,5,-5.160702347818882,5,-0.03207418363092755,5,-22.78444079498336,5
EXAM,S5,False,,0,,0,,0,-177.3354531362254,5,0.13273028607752124,5,-12.706617869372414,5
EXAM,S5,False,,0,,0,,0,-5.276263467578573,5,-1.5842877276885734,5,-67.62408444662296,5
EXAM,S5,True,0.9358836943548781,4,-0.43455552398993086,5,-0.43958342383133164,5,-12.089530959109826,5,0.45079797873349053,5,-6.180417117080137,5
EXAM,S6,True,-0.6140786219481009,5,-0.4938963783953815,5,-0.4704251576246878,5,-2.5807404043164457,5,0.17657109265066173,5,-32.22775775972298,5
EXAM,S6,False,,0,,0,,0,-6.321966489129538,5,0.282828629349882,5,-6.411891824208451,5
EXAM,S6,False,-1.1255796054655458,1,,0,,0,-44.70929344430791,5,-0.25400470076885484,5,-7.629200802351319,5
EXAM,S7,True,-0.4498928951901394,5,-0.5809544238954374,5,-0.5598124664725038,5,-2.999934679487562,5,0.1933255228998086,5,-46.66816621105479,5
EXAM,S7,False,,0,,0,,0,-18.257764514452504,5,0.4585873780681734,5,-41.529899098756644,5
EXAM,S7,False,-1.135169560756354,1,,0,,0,-20.744103419844432,5,-0.09036876725680469,5,-16.652731090466403,5
EXAM,S8,False,-2.332385377885148,1,,0,,0,-6.322592717081235,5,0.28270641124378215,5,-12.756646551014615,5
EXAM,S8,False,,0,,0,,0,-4.258222729351545,5,0.1435260471223207,5,-19.433059857881496,5
EXAM,S8,True,-0.9656964096071982,4,-0.4901380788810621,5,-0.5179177893540933,5,-8.843802345365255,5,-1.059558003713557,5,-7.138623191252495,5
EXAM,S9,False,-0.038045617261792904,3,,0,,0,-20.452500095532926,5,0.389827033369304,5,-11.43562318529643,5
EXAM,S9,True,0.5847474525898524,3,-0.6662484859960377,5,-0.7004029498303374,5,-4.368829398857594,5,0.48999775585142497,5,-20.765607882083867,5
EXAM,S9,False,-0.5227364632371544,1,,0,,0,-6.4440284675357615,5,-0.0008580270861772487,5,-7.277194380234723,5
NURSE,15_1594140175,True,-1.5518923629354435,5,-0.4643015518840345,5,-0.5193948628993319,5,-12.318865952628753,5,-0.929517187222689,5,-10.973512169185781,5
NURSE,6B_1587569373,True,0.1091743820440084,5,-0.5687752247565987,5,-0.520277628958618,5,-9.783812099489689,5,0.1893520380952781,5,-5.641632836607267,5
NURSE,7E_1603292452,False,,0,,0,,0,-5.426462445213353,5,-0.2653193028200047,5,-11.880738993707398,5
NURSE,83_1603929757,False,,0,,0,,0,-5.135802716715418,5,0.2578907257181952,5,-6.487167190773962,5
NURSE,CE_1586788313,True,0.5097663482032121,4,-0.5945884763727818,5,-0.598151272529287,5,-35.69059784027321,5,0.5407619216540318,5,-4.892482068257695,5
NURSE,DF_1594231189,False,-2.7282262469358085,1,,0,,0,-6.11228135636223,5,-0.9536863558257972,5,-9.089557650805366,5
NURSE,E4_1587206108,False,,0,,0,,0,-5.505065732410414,5,0.25696817572148944,5,-14.360744100489853,5
NURSE,EG_1603463571,False,-0.7147240493204859,3,,0,,0,-5.293999184743964,5,-0.7198599583222528,5,-8.98614399842977,5
NURSE,F5_1594141473,False,-6.443387422534844,4,,0,,0,-5.795790913547243,5,0.6305155687129118,5,-25.639968504689655,5
NURSE,5C_1586886712,False,,0,,0,,0,-7.765985827637417,5,1.0396795228382523,5,-181.18631539234462,5
NURSE,6B_1587585327,True,-0.301252144164348,4,-0.897058415606458,5,-1.0003108137766787,5,-6.0379628288448455,5,-0.24950134456208967,5,-13.029184663647516,5
NURSE,7A_1587228286,False,0.02706749697007696,1,,0,,0,-5.196779037861932,5,0.6257578077826241,5,-7.458666757667244,5
NURSE,83_1603966680,False,-0.46119221695503276,1,,0,,0,-6.678263311966818,5,0.28923322140520197,5,-12.501032724561039,5
NURSE,DF_1594296700,False,-1.3030009627510237,1,,0,,0,-6.535913718819401,5,-1.0390136256400702,5,-8.481079654479583,5
NURSE,5C_1587297777,True,1.084319926345703,5,-0.9156180719251055,5,-0.8972343461779054,5,-5.100055969205765,5,1.0870696482100617,5,-17.849165539612365,5
NURSE,6D_1594831043,False,,0,,0,,0,-7.773812156411706,5,-1.0896058388155796,5,-7.37203596283751,5
NURSE,7A_1587298286,False,1.152009207532585,2,,0,,0,-6.644401520183591,5,0.9783996854397013,5,-16.291811145639393,5
NURSE,83_1604016419,False,,0,,0,,0,-4.693691222961087,5,0.15736921419766214,5,-5.198052034024192,5
NURSE,94_1587209323,False,-0.5606095572236285,2,,0,,0,-5.767184192811485,5,-0.3124908577754698,5,-6.477226625523795,5
NURSE,CE_1587568353,False,,0,,0,,0,-6.144081418234654,5,-0.7311463218097027,5,-4.345749226288317,5
NURSE,DF_1594305457,True,-0.5365991961398665,5,-0.701591185883717,5,-0.7003501846905071,5,-4.981112859251686,5,-0.3770520490136967,5,-6.444735240981475,5
NURSE,E4_1587241555,True,-0.09616974401832941,4,-0.9474732773458673,5,-1.0053544547185074,5,-8.801424605298548,5,-0.5859378028106057,5,-17.083901647972528,5
NURSE,15_1594220239,True,-0.3210874433818401,4,-0.876444035291265,5,-1.6726637190984945,5,-5.554937128657445,5,-0.6683243774817285,5,-25.176657188160384,5
NURSE,6D_1594910470,True,-0.14362411282607843,5,-0.7777763200725668,5,-2.6963515633392974,5,-5.631014524181835,5,0.29689588716949006,5,-17.244807060675633,5
NURSE,83_1604103283,False,-0.3602444745124525,2,,0,,0,-5.678524996198315,5,0.2854679351178776,5,-12.335402244729421,5
NURSE,94_1587293342,False,-6.26428966720986,3,,0,,0,-7.186853262625954,5,-0.3096160416886433,5,-78.26863824054817,5
NURSE,CE_1587640779,False,-8.344882543299335,1,,0,,0,-7.240805095548599,5,-1.46815296400471,5,-5.0164077013331845,5
NURSE,DF_1594385893,False,,0,,0,,0,-6.765711473660988,5,-0.7514945322530714,5,-9.89300940086766,5
NURSE,EG_1603574790,True,-0.4848723165744039,5,-0.7860246879233803,5,-0.7273403818329196,5,-6.090829631982077,5,-0.40818078571840444,5,-14.12280407094794,5
NURSE,F5_1594223270,False,,0,,0,,0,-184.57598640859302,5,-0.8829455535646111,5,-21.955387269596823,5
NURSE,6D_1594998483,False,-0.5752216540565065,1,,0,,0,-7.67833407695957,5,0.3611852073962457,5,-110.33608256324237,5
NURSE,7A_1587556854,False,0.6087865094749773,1,,0,,0,-4.8961649262511004,5,0.4464263719910404,5,-9.011644560264468,5
NURSE,DF_1594662154,False,,0,,0,,0,-6.880696368327634,5,-0.5096495787058152,5,-28.878839059049177,5
NURSE,EG_1603627843,False,,0,,0,,0,-5.119568236161896,5,-0.7049327391894114,5,-10.449637196483993,5
NURSE,F5_1594235058,False,-7.784477246783919,3,,0,,0,-10.014354960249749,5,-0.9762703068725571,5,-79.40599498996144,5
NURSE,15_1594298975,False,-309.84105955510796,3,,0,,0,-7.335946267340114,5,-1.4266475951629354,5,-145.27620796214913,5
NURSE,5C_1587569014,True,0.2533604740949159,5,-0.494668273474452,5,-0.4668964069002005,5,-5.475699801253671,5,0.31846637117503407,5,-12.97807259977302,5
NURSE,6B_1588961203,True,-1.0048590959845478,3,-0.6030291901738765,5,-0.5797368097051258,5,-9.903173816319761,5,-0.97956118667372,5,-6.54043986444498,5
NURSE,7A_1587583295,False,,0,,0,,0,-7.963080367105455,5,0.5464912457626558,5,-9.625155826328726,5
