dataset,subject,n_entry,n_exit,mean_entry_b,mean_exit_b,observed_width,a_bar,predicted_width,t,p
WESAD,S2,42,43,14.747399636667229,10.124784410251259,4.62261522641597,,,1.789860296243517,0.07720212379019112
WESAD,S3,40,41,1.8484913541572872,0.21368335459434068,1.6348079995629465,,,1.4507644741716432,0.15094943062532168
WESAD,S5,45,45,5.434677594143376,4.435247138009985,0.9994304561333909,,,0.4879395642431549,0.6268666697494139
WESAD,S6,46,47,-1.0483285935749658,-1.51669877366819,0.4683701800932243,,,0.2443811970849538,0.807492416435029
WESAD,S11,35,36,1.0790186704550195,0.14216637157112466,0.9368522988838949,,,0.31293110043375605,0.7552825971973448
WESAD,S15,38,39,2.0945829456918568,4.876231640784822,-2.7816486950929655,,,-1.3984665960891038,0.16613604762703996
EXAM,S1,79,79,-3.943883351637399,-5.052555899396144,1.1086725477587454,,,0.4535480515380372,0.6507844865222885
EXAM,S1,48,47,-65.19355145217446,-77.48227216251996,12.288720710345501,,,0.6588582006996824,0.5116162197133803
EXAM,S1,54,54,-7.362589351402419,-8.71458529422861,1.3519959428261918,0.9749264147840476,0.7410301278426067,0.5922822673491689,0.554946728894999
EXAM,S10,73,73,-7.41217833541027,-8.738369073309293,1.3261907378990232,,,0.6951624830348742,0.488081545453687
EXAM,S10,33,32,-17.727917101951807,-23.141341148110786,5.41342404615898,3.256214308154173,4.52321862797125,2.6208066501537717,0.011579947798717271
EXAM,S10,62,62,-1.0252443386321712,-9.234035456159877,8.208791117527705,,,1.5182835856114374,0.13154420642426293
EXAM,S2,40,39,-8.285722794415317,-11.049275597976537,2.76355280356122,,,1.423921128257044,0.1586642497871494
EXAM,S2,54,54,-3.915506517895175,-5.659836563598093,1.744330045702918,,,1.3931380777158076,0.16649294015927887
EXAM,S3,97,98,1.3553164049397641,-0.6788193966733489,2.034135801613113,,,0.3383557490213648,0.735464317329803
EXAM,S3,34,34,-5.916832440726599,-7.114478381607904,1.197645940881305,1.8422225480332264,1.9248249950804224,0.9253848576058861,0.3582238667043892
EXAM,S3,64,64,0.2583600111969546,1.7701368475197508,-1.5117768363227961,5.753679646474655,10.624209489959489,-0.5201768062973483,0.6038534324781062
EXAM,S4,92,91,-14.97693967238336,-13.196936312221824,-1.780003360161535,11.87686700441809,31.508733664688382,-0.6428035269314779,0.5211745249425064
EXAM,S4,60,59,-16.219475748592874,-33.05594690942725,16.836471160834375,,,2.441371536403645,0.016194275412720227
EXAM,S5,85,84,-15.850886976774461,-42.89010052174806,27.0392135449736,,,0.9469264790360277,0.34504453005218005
EXAM,S5,41,41,-14.188867378938195,-15.058123258492278,0.8692558795540837,5.3925052778918285,9.639710192567556,1.5072203505329536,0.13570598226165376
EXAM,S6,107,107,-4.282966371522416,-6.032921677585228,1.7499553060628115,,,0.37005927663894156,0.7117077955263191
EXAM,S6,31,30,-18.3196756187724,-23.60500221828044,5.285326599508039,1.7462522726128005,1.7763910881809255,2.193687128439779,0.03245354599097473
EXAM,S7,77,77,-17.670929654817556,-17.43828158357364,-0.23264807124391496,1.2141345609268477,1.0298603590387607,-0.08777278697879055,0.9301731771957098
EXAM,S7,28,27,-11.653834340760728,-11.954519552715224,0.30068521195449627,1.2174023185689822,1.0340208502340449,0.13735003665522733,0.8912758980982229
EXAM,S7,57,58,-2.579007347815583,-2.8094049028666954,0.2303975550511126,,,0.0824504807653305,0.9344386172981103
EXAM,S8,93,93,-12.53517631697948,-10.36021886962889,-2.1749574473505913,,,-0.8305052878513931,0.40732948696215754
EXAM,S8,57,58,-14.665665268968837,-13.664359592012396,-1.0013056769564415,4.838918401840224,8.19408674693388,-0.3292271897877389,0.7425989916537905
EXAM,S9,36,35,-13.450379742059548,-14.782578935052916,1.332199192993368,1.7889005520860728,1.841863350650499,1.1011371877791356,0.2748355383957274
EXAM,S9,64,63,0.7174335141029476,-0.9881852803485297,1.7056187944514773,,,0.6934732551068602,0.4893003231905907
NURSE,15_1594140175,52,52,18.278560506675703,17.24970786266449,1.028852644011213,,,0.3007538390718902,0.7642152234026283
NURSE,15_1594213322,44,45,25.587544254963117,22.939050452413085,2.648493802550032,,,0.10687771334388949,0.9151348792042215
NURSE,15_1594220239,106,105,26.185089047796122,29.324824113055946,-3.139735065259824,,,-0.298643806882817,0.765512810491056
NURSE,15_1594298975,87,87,41.65837718396232,23.098873685426057,18.559503498536266,,,1.4826456747391814,0.14000085701048492
