dataset,subject,var_exponent,var_ci_lo,var_ci_hi,var_r2,var_p_vs_pred,var_n,ac1_exponent,ac1_ci_lo,ac1_ci_hi,ac1_r2,ac1_p_vs_pred,ac1_n,kendall_tau_var,kendall_p_surrogate,n_onsets,auc_lead3,auc_lead6,auc_lead12
WESAD,S2,,,,,,15,,,,,,15,-0.09179926560587516,0.3333333333333333,25,0.4799498746867168,0.5208333333333334,0.4398496240601504
WESAD,S3,-0.08770161828856432,-0.16027563290489594,-0.011335336270958873,0.036343504213904164,0.0009995002498750624,115,0.3657590289219061,0.15511795148901447,0.8614374164450043,0.08106384224644242,0.5307346326836582,115,0.18012205754141233,0.07960199004975124,25,0.4738636363636364,0.42857142857142855,0.5466666666666666
WESAD,S5,0.06607549146174575,0.010445200747280298,0.12577104233855205,0.04708698451710172,0.0009995002498750624,73,-0.5008993621579046,-0.7975499606093505,-0.23317875647930353,0.15819245921946964,0.0009995002498750624,73,-0.3460293277470958,0.25870646766169153,28,0.47821969696969696,0.42028985507246375,0.39705882352941174
WESAD,S6,0.07477333530615177,-0.0021790813244236913,0.1575273380635985,0.029265676092829963,0.0009995002498750624,115,-0.020707265177531242,-0.19977092463141108,0.16008389766630793,0.0004920430520919097,0.0009995002498750624,115,-0.019396984924623113,0.15920398009950248,27,0.4782608695652174,0.4602272727272727,0.4181547619047619
WESAD,S11,-0.011635353762043976,-0.12551996451103148,0.11494978166234533,0.00048288334065748283,0.0009995002498750624,55,-0.0473685027807951,-0.2112341292247296,0.08167123331844298,0.004438634516548959,0.0009995002498750624,55,0.008158508158508158,0.4228855721393035,22,0.5036764705882353,0.42857142857142855,0.39204545454545453
WESAD,S15,-0.032440153351393886,-0.09267632749149526,0.022354586468597958,0.03067966612303434,0.0009995002498750624,49,-0.24124362345999437,-0.5086612931286341,0.001730045831501596,0.08000466204284033,0.0009995002498750624,49,0.14118773946360152,0.004975124378109453,23,0.4934640522875817,0.4888888888888889,0.5416666666666666
EXAM,S1,0.03784861355147673,-0.010119589601245461,0.0934702130193749,0.009065856717779493,0.0009995002498750624,333,-0.028555628821553658,-0.14342182310681498,0.08272901640566598,0.000793793108290088,0.0009995002498750624,333,-0.1649246231155779,0.5223880597014925,55,0.49058823529411766,0.4943977591036415,0.4776595744680851
EXAM,S1,0.04837226721712137,-0.005920876411162039,0.10160737252377669,0.019786428775856176,0.0009995002498750624,204,-0.46068254297528366,-0.5655679248663203,-0.36664707960643184,0.27720875006932844,0.0009995002498750624,204,-0.17879396984924623,0.32338308457711445,35,0.4990234375,0.5095766129032258,0.5188577586206896
EXAM,S1,-0.05786148725673123,-0.10075816627296572,-0.01668241836236438,0.021446805137598987,0.0009995002498750624,306,0.006335029428301617,-0.07560898638400532,0.08343693436106991,8.275671349907112e-05,0.0009995002498750624,306,-0.12693467336683417,0.26865671641791045,38,0.47750865051903113,0.4671280276816609,0.46875
EXAM,S10,0.0033676971838684272,-0.026647023103011532,0.03294185419649104,0.00014435038404733187,0.0009995002498750624,338,0.0009184309157747968,-0.08297688566826548,0.08055986698857755,1.4132987976510605e-06,0.0009995002498750624,338,0.4174874371859296,0.05970149253731343,53,0.5120783007080383,0.4752496743378202,0.4888888888888889
EXAM,S10,0.7139377112832398,0.5558223872395172,0.8750935542256061,0.15182858407082098,0.0009995002498750624,359,0.14712879931375109,-0.07596040938790569,0.4014681418280822,0.0036259638573276115,0.008995502248875561,359,-0.48452261306532657,0.38308457711442784,27,0.4940828402366864,0.492603550295858,0.44769230769230767
EXAM,S10,0.03096598755799082,-0.00969507149090806,0.08066448840268488,0.01824596028261906,0.0009995002498750624,166,-0.38466643490097235,-0.5576051927331278,-0.23434926181307877,0.14513227915326116,0.0009995002498750624,166,0.23266331658291456,0.04975124378109453,44,0.5328731097961867,0.5611439842209073,0.44804318488529016
EXAM,S2,0.5313397124287348,0.44441303908413693,0.6213103110687757,0.25472754936500247,0.0009995002498750624,369,-0.2178350068136057,-0.3427342316312021,-0.08887747446125302,0.027557983016153642,0.0009995002498750624,369,-0.6741708542713568,0.6218905472636815,27,0.4930555555555556,0.5045289855072463,0.5606060606060606
EXAM,S2,-0.05210640872667007,-0.11105840663582088,-0.009921077004911592,0.023573005138127497,0.0009995002498750624,210,0.11226192979222567,-0.01684892205429169,0.2191690954244766,0.015664308674747322,0.0009995002498750624,210,-0.33788944723618086,0.35323383084577115,39,0.5348943985307621,0.48117539026629935,0.4502840909090909
EXAM,S3,-0.0972634855738642,-0.1470532845934736,-0.04936072058726883,0.05172956906990624,0.0009995002498750624,315,0.11433217168361189,0.012842229945151362,0.22001517545445448,0.012784464673204486,0.0009995002498750624,315,0.03628140703517588,0.22388059701492538,70,0.4991965105601469,0.4835664335664336,0.4745501893939394
EXAM,S3,0.31760625708167695,0.24270056898134423,0.3921560942202161,0.13965820606999768,0.0009995002498750624,377,0.2792493902475786,0.14570825461806547,0.40472297111712363,0.03944684906795458,0.0009995002498750624,377,-0.38914572864321606,0.3333333333333333,28,0.5034293552812071,0.5582990397805213,0.5028490028490028
EXAM,S3,0.16692918593045913,0.10315646795239317,0.23575248455988648,0.11132829639353588,0.0009995002498750624,174,-0.08158523785655805,-0.25548985792780254,0.08658286689491537,0.004886604553710974,0.0009995002498750624,174,0.37778894472361807,0.004975124378109453,38,0.508578431372549,0.5491071428571429,0.5181372549019608
EXAM,S4,-0.06946847227957871,-0.13742156556301433,-0.0027487963018269107,0.01304665631132805,0.0009995002498750624,441,0.025243106152078844,-0.08293016207512131,0.14296531995562708,0.00045387306210079427,0.0009995002498750624,441,-0.08733668341708542,0.30845771144278605,61,0.46651785714285715,0.4771825396825397,0.5089285714285714
EXAM,S4,0.050505175048431473,0.005567746808783339,0.09280504731700412,0.02828457327361532,0.0009995002498750624,224,0.0527061705311698,-0.05004461050913877,0.15488717200665308,0.004913682232227681,0.0009995002498750624,224,0.08944723618090451,0.07960199004975124,41,0.5069393718042366,0.4891141141141141,0.475020475020475
EXAM,S5,-0.003703403778060474,-0.05431035152904001,0.05199558923571072,7.653032718780757e-05,0.0009995002498750624,197,-0.22464578912539804,-0.3395633617900161,-0.11814732491388212,0.06052512421375035,0.0009995002498750624,197,0.1673366834170854,0.12437810945273632,58,0.49528301886792453,0.5119738751814223,0.5242587601078167
EXAM,S5,-1.7361118028002092,-1.9669113425127418,-1.5146660685012048,0.2876409472511397,0.0009995002498750624,370,-0.9580080808885669,-1.3782796222847309,-0.5549636305042054,0.04340917654400905,0.0009995002498750624,370,-0.2922613065326633,0.12935323383084577,30,0.5165816326530612,0.5284391534391535,0.4828571428571429
EXAM,S6,0.015067954809626999,-0.012736026098959909,0.041778446883275824,0.0030200875429443248,0.0009995002498750624,328,-0.039893374225187336,-0.12631223823476184,0.05038660197215256,0.002116515390599225,0.0009995002498750624,328,0.37778894472361807,0.07960199004975124,77,0.4766372677800713,0.5018074581430746,0.5311693468334326
EXAM,S6,0.969471549380681,0.8276242604902412,1.105874604412192,0.3796502355259399,0.0009995002498750624,341,0.10393231647591974,-0.08143521399364448,0.27861947338027976,0.004147542292108105,0.0009995002498750624,341,-0.4290452261306532,0.3482587064676617,22,0.518140589569161,0.536281179138322,0.564625850340136
EXAM,S7,0.037865237646896865,0.010505793782126295,0.06686371709687998,0.03269124171594557,0.0009995002498750624,385,0.0024112941415552823,-0.0818188927289021,0.08692566247069632,8.161843795936369e-06,0.0009995002498750624,385,-0.10884422110552763,0.11940298507462686,56,0.4769984917043741,0.4813348416289593,0.5382152861144458
EXAM,S7,0.6786781780152091,0.5988220756687334,0.7598556269639323,0.4131549990833597,0.0009995002498750624,382,0.4135467462867167,0.3042151754877315,0.5299154319373399,0.10798058268766249,0.1549225387306347,382,-0.6021105527638191,0.7263681592039801,20,0.5083102493074793,0.5678670360110804,0.49722991689750695
EXAM,S7,-0.019330988800775824,-0.07309420175368989,0.024899184977473145,0.0030738170970297483,0.0009995002498750624,161,-0.3259942263532328,-0.5117499824988533,-0.13871867576239597,0.06852717449064079,0.0009995002498750624,161,0.5738693467336683,0.009950248756218905,36,0.5192837465564738,0.5539772727272727,0.4984848484848485
EXAM,S8,0.02069064589203783,-0.026274306601911657,0.06563253033950786,0.0019254055919950398,0.0009995002498750624,349,-0.023045698570811155,-0.13640895421308535,0.09258484044682659,0.00041142550950413434,0.0009995002498750624,349,-0.23306532663316584,0.527363184079602,59,0.5025252525252525,0.4831903945111492,0.5226757369614512
EXAM,S8,-0.027056469735748108,-0.08974601008091637,0.02102304803805629,0.005417038942380947,0.0009995002498750624,216,0.10649802161466934,-0.028928400198568956,0.2987878812688408,0.011154847325346488,0.0009995002498750624,216,0.5144723618090452,0.009950248756218905,34,0.5177777777777778,0.5572222222222222,0.45459770114942527
EXAM,S9,1.0909821860811781,0.934724598766016,1.2583424903871827,0.3083167906740293,0.0009995002498750624,392,-0.05204137024203283,-0.3680762178568036,0.27702959136920874,0.0003069366635411867,0.0009995002498750624,392,-0.5131658291457286,0.5422885572139303,29,0.4821673525377229,0.5452674897119342,0.5491452991452992
EXAM,S9,0.043803186692421524,-0.014853347512956465,0.1096961185197144,0.01322123354534771,0.0009995002498750624,124,0.18186661946454782,0.006396653979556655,0.43819797622913104,0.02179031930397453,0.020989505247376312,124,0.352964824120603,0.05472636815920398,43,0.48826458036984355,0.483187134502924,0.5092905405405406
NURSE,15_1594140175,-0.12164014576896758,-0.17862771792884313,-0.06917335990804124,0.19147937020775838,0.0009995002498750624,39,-0.026072355814627524,-0.3141248296110596,0.2054588812551801,0.0010268176177694588,0.0009995002498750624,39,0.036482412060301506,0.1044776119402985,33,0.4948914431673052,0.48642857142857143,0.4781144781144781
NURSE,15_1594213322,-0.07717311926687093,-0.17439547949252646,-0.005391072152954263,0.04835251037321867,0.0009995002498750624,79,0.1493198799679742,-0.05963435703021503,0.40080385999926565,0.027172442705536395,0.008995502248875561,79,-0.21121431028551776,0.01990049751243781,24,0.5105263157894737,0.5055555555555555,0.4548872180451128
NURSE,15_1594220239,0.003112284153965093,-0.04140775220344098,0.052187642054377675,8.584393450303622e-05,0.0009995002498750624,176,0.13733050429995838,0.0027237354233107165,0.27863815258077224,0.025054739944848626,0.0009995002498750624,176,0.2523618090452261,0.014925373134328358,64,0.4943502824858757,0.4733918128654971,0.4742564758554525
NURSE,15_1594298975,-0.011399562880882542,-0.039958083297430905,0.01552183495271651,0.005375694684446855,0.0009995002498750624,111,0.054564995223790894,-0.07313421066481891,0.25764553906910026,0.00757128560838716,0.0009995002498750624,111,0.05346733668341708,0.03980099502487562,52,0.4838112858464385,0.44535783365570597,0.47720042417815484
NURSE,15_1594311202,0.0025795963750996844,-0.028771474555761047,0.030682365547098602,0.00010865776141903068,0.0009995002498750624,279,0.007705267837500435,-0.10691589277349577,0.12011892458881576,6.393842626483259e-05,0.0009995002498750624,279,0.1587939698492462,0.024875621890547265,62,0.49902597402597404,0.5198412698412699,0.5124125874125874
NURSE,15_1595347920,-0.008441617603289117,-0.04599513675439794,0.025012967886816014,0.003997238365199928,0.0009995002498750624,29,0.11805034391845082,-0.15268564839999305,0.3563761865526866,0.015447542471329019,0.005997001499250375,29,,,9,0.6,,
NURSE,15_1595425036,-0.02722099317260273,-0.11899608514478631,0.05509299554706597,0.015396614540449266,0.0009995002498750624,33,0.06289907283073552,-0.18012512735353697,0.34554950160450004,0.007221795952212031,0.00399800099950025,33,0.2458295874538008,0.009950248756218905,21,0.4172794117647059,0.4642857142857143,0.6193181818181818
NURSE,15_1595446619,-0.04918538499108631,-0.1010240418860475,-0.004059941589363074,0.01969569298189513,0.0009995002498750624,160,-0.0668357196021255,-0.224796863719794,0.11001957094595231,0.0050339182709570164,0.0009995002498750624,160,-0.03768844221105527,0.11940298507462686,33,0.5165343915343915,0.5103021978021978,0.35942760942760943
NURSE,15_1595857850,,,,,,11,,,,,,11,,,9,0.6,0.8,
NURSE,15_1595871983,,,,,,15,,,,,,15,-0.6544723618090451,0.4925373134328358,56,0.4869387755102041,0.4476086956521739,0.45918367346938777
