dataset,subject,var_exponent,var_ci_lo,var_ci_hi,var_r2,var_p_vs_pred,var_n,ac1_exponent,ac1_ci_lo,ac1_ci_hi,ac1_r2,ac1_p_vs_pred,ac1_n,kendall_tau_var,kendall_p_surrogate,n_onsets,auc_lead3,auc_lead6,auc_lead12
WESAD,S2,-0.654945069210029,-0.8921043042109096,-0.5260371849374784,0.4921125290005785,0.008995502248875561,128,0.12424737623591878,0.05697326119676159,0.22760492693281578,0.05393302940857287,0.0009995002498750624,128,-0.1939344485244118,0.14925373134328357,15,0.41904761904761906,0.2846153846153846,0.15714285714285714
WESAD,S3,-1.2761283335144369,-1.7147113010392112,-0.9050373643863631,0.21485061014457593,0.0009995002498750624,136,0.29666553542385216,0.1643444081420394,0.451882503933623,0.10108022399490364,0.013993003498250875,136,-0.568846265620459,0.9353233830845771,13,0.40082644628099173,0.38181818181818183,0.2532467532467532
WESAD,S10,-0.6278905610045864,-1.1132102461667819,-0.39544027872911364,0.17411528906433035,0.32283858070964516,92,0.22516879453256272,0.1280375057836783,0.3572923685108413,0.04207894111741412,0.0029985007496251873,92,0.3319573443412453,0.27860696517412936,8,0.64,0.4666666666666667,
WESAD,S11,0.08733629044189044,-0.37794044384802067,0.5203218154387576,0.0029599730415774982,0.01199400299850075,75,0.028794532921164004,-0.20020165066807696,0.2953272778671108,0.0017316754136968775,0.0009995002498750624,75,-0.19055944055944057,0.40298507462686567,8,0.609375,0.578125,0.075
WESAD,S14,,,,,,13,,,,,,13,0.02164502164502164,0.34328358208955223,12,0.5227272727272727,0.3686868686868687,0.35625
WESAD,S15,-0.8129900255674153,-1.5375049051594551,-0.543812013164973,0.21484348955362847,0.01899050474762619,81,0.27831053998177996,0.1507605444264238,0.6654784632638249,0.11650835391113452,0.17191404297851073,81,0.5900383141762452,0.0845771144278607,11,0.25,0.2916666666666667,0.5
WESAD,S16,-0.2671549487931519,-0.7074845538052665,0.05767858457991801,0.043962950899632015,0.26186906546726635,56,-0.09537300829042275,-0.19864872338386616,0.02484605002302503,0.034196609394981724,0.0009995002498750624,56,-0.26179977135391147,0.6915422885572139,7,0.5,,
EXAM,S1,-4.43200661572061,-5.50718486616255,-3.7022900625907953,0.36945333104605405,0.0009995002498750624,150,0.5288398358994051,-0.11546001643339678,1.635308041640418,0.017776889773563502,0.9565217391304348,150,-0.06241206030150754,0.5920398009950248,7,0.42857142857142855,0.46938775510204084,0.20238095238095238
EXAM,S2,-1.3617766299614318,-1.7332395994312384,-1.0489511325597731,0.22468358904367713,0.0009995002498750624,420,0.10455100885266319,-0.01940337192850008,0.21620833874789186,0.004499788359934934,0.0009995002498750624,420,-0.023115577889447233,0.06467661691542288,43,0.4523809523809524,0.45153061224489793,0.46938775510204084
EXAM,S2,-2.9612892478195283,-3.5504247860184153,-2.5031525701261033,0.4695858587843452,0.0009995002498750624,187,0.22684655482588434,-0.01347607708156389,0.5462025051927953,0.010304819184247608,0.08695652173913043,187,-0.1743718592964824,0.6268656716417911,13,0.4201388888888889,0.3712121212121212,0.3425925925925926
EXAM,S3,-1.4117516012832647,-1.9421293311380525,-1.0090464260374745,0.1931328929428916,0.0009995002498750624,157,0.02474065633460476,-0.17105881868302739,0.20238957838163524,0.0003098010265370482,0.0009995002498750624,157,-0.165929648241206,0.6218905472636815,9,0.6172839506172839,0.6049382716049383,0.4567901234567901
EXAM,S4,-0.2757179195663171,-0.6661996680332706,-0.18127156654486176,0.4554383746780507,0.3868065967016492,29,-0.6777467477172758,-1.0205803425402784,-0.4217055236861109,0.2585529757111104,0.0009995002498750624,129,-0.7171013772281514,0.7512437810945274,13,0.5,0.5123456790123457,0.4691358024691358
EXAM,S5,-2.492866682047489,-4.964764355109584,-1.3919642586250893,0.13405451408319954,0.0009995002498750624,75,0.35930608026833255,-0.5541458372755432,1.080022698521389,0.004013893862985417,0.6766616691654173,131,-0.4773301151330658,0.8258706467661692,9,0.4126984126984127,0.35714285714285715,0.5476190476190477
