dataset,subject,state,n_episodes,mean_dwell,cv_observed,cv_geometric,overdispersion,ks_stat,ks_p
WESAD,S2,overloaded,43,2.7906976744186047,0.9129469985832815,0.801040989379861,0.11190600920342053,0.3583333333333334,1.8931091287601812e-05
WESAD,S3,overloaded,41,2.8048780487804876,1.136239278295964,0.8021709673564391,0.33406831093952494,0.3565217391304347,3.601038014735567e-05
WESAD,S5,overloaded,45,2.577777777777778,0.901429041184125,0.7823483658302364,0.11908067535388867,0.3879310344827587,1.314868405786157e-06
WESAD,S6,overloaded,47,2.5531914893617023,0.7949493345141214,0.7799572637865061,0.014992070727615325,0.3916666666666666,5.239552290245654e-07
WESAD,S11,overloaded,36,2.6666666666666665,1.271686871835988,0.7905694150420949,0.48111745679389306,0.375,4.6921963221749744e-05
WESAD,S15,overloaded,39,2.5641025641025643,1.0553672346628917,0.7810249675906655,0.2743422670722262,0.3899999999999999,7.460618627276535e-06
EXAM,S1,overloaded,79,4.962025316455696,1.958495973053848,0.8935711430854859,1.064924829968362,0.3301149573753551,3.58491395770372e-08
EXAM,S1,overloaded,48,3.8541666666666665,1.4819784221869128,0.8605466521581154,0.6214317700287973,0.2613738738738739,0.0022103633834589242
EXAM,S1,overloaded,55,3.2181818181818183,1.773381442037753,0.830220173642609,0.9431612683951439,0.31073446327683607,3.2439909631979304e-05
EXAM,S10,overloaded,73,5.465753424657534,1.9890593400043852,0.9039040914368575,1.0851552485675278,0.3649878119957428,3.179774400535599e-09
EXAM,S10,overloaded,34,5.529411764705882,2.105979974342437,0.9050684704320512,1.200911503910386,0.4662077596996246,2.71452566947668e-07
EXAM,S10,overloaded,62,3.7580645161290325,1.5380443765827743,0.8566828931402457,0.6813614834425286,0.2660944206008584,0.00022970660855513197
EXAM,S2,overloaded,40,4.8,1.237962876395465,0.8897565210026093,0.3482063553928558,0.22673611111111103,0.02739034040188737
EXAM,S2,overloaded,54,4.7592592592592595,1.1823480785108058,0.8887537726966285,0.29359430581417734,0.21580919440841628,0.010947766322556896
EXAM,S3,overloaded,98,4.336734693877551,1.8816719356350087,0.8771611965345266,1.004510739100482,0.24505568815761591,1.144380335525751e-05
EXAM,S3,overloaded,34,5.764705882352941,2.1978843335179246,0.9091372900969897,1.2887470434209347,0.44785873533086706,9.700472099071791e-07
EXAM,S3,overloaded,64,2.5625,1.0948475945104117,0.7808688094430303,0.3139787850673814,0.3902439024390244,2.7329392457219605e-09
EXAM,S4,overloaded,96,2.3229166666666665,1.1549588304603402,0.7546566944362179,0.40030213602412235,0.4304932735426009,1.114609685094943e-16
EXAM,S4,overloaded,60,3.216666666666667,1.1987962319352552,0.8301320202139272,0.368664211721328,0.31088082901554404,1.19466100723391e-05
EXAM,S5,overloaded,85,2.9529411764705884,1.0111519249970065,0.8132371005268432,0.1979148244701633,0.33864541832669315,3.359167033899836e-09
EXAM,S5,overloaded,40,4.675,1.8278368997236027,0.8866206949335731,0.9412162047900297,0.411096256684492,1.2511003460130978e-06
EXAM,S6,overloaded,107,3.8317757009345796,1.1166630411239795,0.8596652780262225,0.256997763097757,0.26097560975609757,6.43031633876019e-07
EXAM,S6,overloaded,31,5.967741935483871,3.0524798621751237,0.9123773519944652,2.1401025101806583,0.4671373029524728,1.0115368710192103e-06
EXAM,S7,overloaded,77,4.038961038961039,2.260905215524453,0.8674166101491837,1.3934886053752695,0.36280118595231137,1.3758823862648148e-09
EXAM,S7,overloaded,28,7.25,2.1152860790434485,0.9284766908852593,1.1868093881581891,0.4334975369458127,2.66621425021245e-05
EXAM,S7,overloaded,58,3.0517241379310347,1.3801162507744165,0.8199490131592275,0.5601672376151889,0.327683615819209,4.7719431806852034e-06
EXAM,S8,overloaded,93,3.086021505376344,2.136624458981722,0.8221667641989124,1.3144576947828095,0.3240418118466899,3.418751846466838e-09
