dataset,subject,n_gaps,mean_gap,median_gap,hazard_rate,ks_expon_p
WESAD,S2,42,1.9285714285714286,1.0,0.5185185185185185,1.005512884001078e-06
WESAD,S3,40,2.5,2.0,0.4,0.00022478032064047367
WESAD,S5,44,2.022727272727273,2.0,0.49438202247191004,1.535097258597113e-06
WESAD,S6,46,2.391304347826087,1.0,0.4181818181818182,2.6717407822965324e-05
WESAD,S11,35,2.1142857142857143,1.0,0.47297297297297297,5.649542196490291e-05
WESAD,S15,38,1.9473684210526316,2.0,0.5135135135135135,4.7912921034628095e-06
EXAM,S1,78,4.923076923076923,2.0,0.203125,0.0004061613961233107
EXAM,S1,47,3.9574468085106385,2.0,0.25268817204301075,0.015376132903729856
EXAM,S1,53,3.5849056603773586,2.0,0.2789473684210526,0.0029948543268295547
EXAM,S10,72,4.986111111111111,2.0,0.20055710306406688,0.012883050637770177
EXAM,S10,32,6.21875,4.5,0.16080402010050251,0.152433130428695
EXAM,S10,61,3.2295081967213113,2.0,0.30964467005076146,0.0002617422113048455
EXAM,S2,39,5.282051282051282,1.0,0.18932038834951456,3.434214623270675e-05
EXAM,S2,53,3.792452830188679,2.0,0.263681592039801,0.005496389466002838
EXAM,S3,97,4.474226804123711,2.0,0.22350230414746544,5.657405041025581e-06
EXAM,S3,33,6.03030303030303,4.0,0.1658291457286432,0.38501052742213926
EXAM,S3,63,2.761904761904762,2.0,0.3620689655172414,1.17809584425382e-05
EXAM,S4,91,3.010989010989011,2.0,0.33211678832116787,6.368000905612232e-07
EXAM,S4,59,3.305084745762712,2.0,0.30256410256410254,0.0004893588354236933
EXAM,S5,84,3.0238095238095237,2.0,0.33070866141732286,2.1976541023757056e-06
EXAM,S5,40,5.15,3.0,0.1941747572815534,0.14647774984154371
EXAM,S6,106,3.6037735849056602,2.0,0.2774869109947644,5.787581227917312e-06
EXAM,S6,30,6.166666666666667,3.5,0.16216216216216214,0.12133213736762982
EXAM,S7,76,4.473684210526316,3.0,0.22352941176470587,0.003780165801546831
EXAM,S7,27,7.703703703703703,2.0,0.12980769230769232,0.016719135695569376
EXAM,S7,57,3.175438596491228,2.0,0.3149171270718232,0.00036440567634379845
EXAM,S8,92,3.3152173913043477,2.0,0.3016393442622951,5.427837959448844e-06
EXAM,S8,57,2.824561403508772,2.0,0.35403726708074534,5.471204744087548e-05
EXAM,S9,35,5.9714285714285715,6.0,0.16746411483253587,0.1452253193466656
EXAM,S9,63,3.238095238095238,2.0,0.3088235294117647,0.0002046041632222962
NURSE,15_1594140175,51,2.5098039215686274,2.0,0.3984375,2.084237747751547e-05
NURSE,15_1594213322,44,2.1136363636363638,1.0,0.47311827956989244,3.989816203102484e-06
NURSE,15_1594220239,105,2.342857142857143,2.0,0.4268292682926829,7.89289191024053e-12
NURSE,15_1594298975,87,2.2413793103448274,1.0,0.4461538461538462,1.3415444997152727e-10
NURSE,15_1594311202,100,2.34,2.0,0.4273504273504274,2.598322724075884e-11
NURSE,15_1595347920,16,1.8125,2.0,0.5517241379310345,0.003989706781856173
NURSE,15_1595425036,35,2.342857142857143,1.0,0.4268292682926829,0.0002799650084004493
NURSE,15_1595446619,45,2.6,2.0,0.3846153846153846,0.00014012559533872233
NURSE,15_1595857850,13,2.923076923076923,3.0,0.34210526315789475,0.1845179921607054
NURSE,15_1595871983,87,2.367816091954023,1.0,0.4223300970873786,1.0046673413184766e-09
NURSE,15_1595947283,23,2.0869565217391304,1.0,0.4791666666666667,0.001659817243444217
NURSE,15_1595953571,106,2.2452830188679247,2.0,0.4453781512605042,9.0918546201149e-13
NURSE,15_1596219716,12,2.5833333333333335,2.0,0.3870967741935484,0.13400021505501014
NURSE,15_1596222922,32,2.5,2.0,0.4,0.0013379916324375296
NURSE,15_1596551659,95,2.0736842105263156,1.0,0.4822335025380711,5.131280421151579e-13
NURSE,15_1596648020,38,2.0789473684210527,2.0,0.4810126582278481,1.7158424713989805e-05
NURSE,5C_1586886712,60,5.333333333333333,1.0,0.1875,6.563291964502677e-07
NURSE,5C_1587336033,16,2.3125,2.0,0.43243243243243246,0.02874202807392856
NURSE,5C_1587569014,142,2.211267605633803,2.0,0.4522292993630573,2.3891784605736173e-17
NURSE,5C_1588974475,49,3.020408163265306,2.0,0.3310810810810811,0.0006168467155602819
NURSE,5C_1589286789,70,2.5142857142857142,2.0,0.39772727272727276,3.245331798115464e-07
NURSE,5C_1589298448,175,2.6742857142857144,2.0,0.37393162393162394,1.2466814899877278e-15
NURSE,5C_1589803857,198,3.419191919191919,2.0,0.292466765140325,1.0387666250155026e-11
NURSE,5C_1589889161,236,2.8516949152542375,2.0,0.35066864784546803,8.531777213563663e-19
NURSE,5C_1592926305,148,2.195945945945946,1.0,0.4553846153846154,2.923407855787609e-18
NURSE,5C_1593006542,82,2.3292682926829267,2.0,0.4293193717277487,1.9600947606700255e-09
NURSE,5C_1593018622,82,2.207317073170732,2.0,0.4530386740331491,2.9213890960830076e-10
NURSE,5C_1593094946,113,2.1238938053097347,1.0,0.47083333333333327,8.065115149844682e-15
NURSE,6B_1587569373,112,2.2767857142857144,2.0,0.4392156862745098,3.614965349530461e-13
NURSE,6B_1587653438,43,1.930232558139535,1.0,0.5180722891566265,7.298796951096884e-07
NURSE,6B_1588961203,36,2.5277777777777777,2.0,0.39560439560439564,0.0006359277417531395
NURSE,6B_1589901451,35,2.2857142857142856,2.0,0.4375,0.00019462357812476252
NURSE,6B_1592925729,39,2.358974358974359,1.0,0.42391304347826086,0.00011570855024735512
NURSE,6B_1593024104,46,2.3260869565217392,2.0,0.42990654205607476,1.5891081805722306e-05
NURSE,6B_1593083317,19,2.5789473684210527,2.0,0.3877551020408163,0.030213112801540598
NURSE,6B_1593101741,36,2.388888888888889,2.0,0.4186046511627907,0.0002904902096992053
NURSE,6B_1593110897,46,2.1739130434782608,2.0,0.46,4.0658768510742605e-06
NURSE,6B_1593176942,38,2.4473684210526314,2.0,0.40860215053763443,0.0002579823296667553
NURSE,6B_1593191957,34,3.0,2.0,0.3333333333333333,0.006547362818315139
NURSE,6B_1593427701,67,2.3134328358208953,2.0,0.4322580645161291,6.964060080613129e-08
NURSE,6B_1593437366,26,1.9615384615384615,1.5,0.5098039215686275,0.0002962808636483066
NURSE,6D_1594757863,11,4.0,3.0,0.25,0.5807907311816649
NURSE,6D_1594831043,50,2.46,1.5,0.4065040650406504,1.7810204306972518e-05
NURSE,6D_1594910470,144,2.3402777777777777,2.0,0.427299703264095,4.598698089951634e-16
NURSE,7A_1587228286,122,2.1065573770491803,1.5,0.47470817120622566,3.6296451582247413e-16
NURSE,7A_1587298286,85,2.541176470588235,2.0,0.39351851851851855,1.6476497766372813e-08
NURSE,7A_1587583295,121,1.9421487603305785,1.0,0.5148936170212766,3.306647263239516e-18
NURSE,7A_1587643240,315,2.168253968253968,1.0,0.4612005856515374,4.400803642390474e-39
NURSE,7A_1588977047,54,1.9814814814814814,1.5,0.5046728971962617,3.685511769782485e-08
NURSE,7A_1589055551,10,2.0,2.0,0.5,0.0661168206874474
NURSE,7A_1592941276,33,2.0606060606060606,2.0,0.4852941176470588,6.71925699389836e-05
NURSE,7A_1593091052,34,2.1176470588235294,1.5,0.4722222222222222,7.777221231794472e-05
NURSE,7A_1593115159,27,2.5555555555555554,2.0,0.391304347826087,0.0050823396548558275
NURSE,7A_1593177044,105,2.123809523809524,2.0,0.4708520179372197,8.296571110570958e-14
NURSE,7A_1593436174,31,1.6129032258064515,1.0,0.62,1.4046094421471027e-06
NURSE,7A_1593527735,25,2.12,1.0,0.4716981132075471,0.00110140403298431
NURSE,7A_1593620516,28,1.8214285714285714,1.0,0.5490196078431373,4.7710300303842e-05
NURSE,7A_1593633083,24,1.9583333333333333,1.0,0.5106382978723405,0.0005629893211474002
NURSE,7A_1594043417,35,2.4857142857142858,2.0,0.40229885057471265,0.000635477590053557
