dataset,subject,n_gaps,mean_gap,median_gap,hazard_rate,ks_expon_p
WESAD,S2,20,3.95,2.5,0.2531645569620253,0.23232567354448463
WESAD,S3,14,3.7857142857142856,2.5,0.2641509433962264,0.37866631290731356
WESAD,S10,12,3.0833333333333335,1.0,0.3243243243243243,0.07234812646061428
WESAD,S11,8,10.0,4.5,0.1,0.7033264329939426
WESAD,S14,14,3.642857142857143,3.0,0.27450980392156865,0.3393767989764511
WESAD,S15,16,2.4375,2.0,0.41025641025641024,0.04055826203107871
EXAM,S1,11,4.0,2.0,0.25,0.13551826029783764
EXAM,S2,63,3.1746031746031744,1.0,0.315,4.93312479154227e-05
EXAM,S2,16,8.6875,2.0,0.11510791366906475,0.0006104953141971015
EXAM,S4,16,8.4375,2.0,0.11851851851851852,0.028471178282379772
EXAM,S5,12,3.3333333333333335,1.5,0.3,0.33590514742425603
EXAM,S6,41,4.682926829268292,1.0,0.21354166666666669,7.61879137749903e-05
EXAM,S7,15,19.533333333333335,3.0,0.051194539249146756,0.0035825129506723563
EXAM,S8,24,3.0,1.0,0.3333333333333333,0.033662781577455725
NURSE,6B_1587569373,13,10.461538461538462,7.0,0.09558823529411764,0.7656714117647876
NURSE,CE_1586788313,10,19.0,5.0,0.05263157894736842,0.12610682704538057
NURSE,15_1594149654,10,1.3,1.0,0.7692307692307692,0.0032135166873535556
NURSE,6B_1587585327,30,7.7,3.5,0.12987012987012986,0.05601658505842089
NURSE,7E_1603309557,9,5.222222222222222,3.0,0.19148936170212766,0.7250355668730704
NURSE,5C_1587297777,33,5.2727272727272725,1.0,0.18965517241379312,2.3635892220386572e-05
NURSE,DF_1594305457,23,14.782608695652174,6.0,0.06764705882352941,0.3455643294876344
NURSE,E4_1587241555,21,7.761904761904762,3.0,0.12883435582822086,0.12382301904941051
NURSE,15_1594220239,17,12.352941176470589,4.0,0.08095238095238094,0.05451452232625509
NURSE,6D_1594910470,14,23.357142857142858,5.0,0.04281345565749235,0.0345139714620063
NURSE,EG_1603574790,16,8.1875,5.0,0.12213740458015267,0.7875557920405769
NURSE,15_1594238057,10,3.3,3.0,0.30303030303030304,0.4283838030592133
NURSE,5C_1587569014,19,15.421052631578947,10.0,0.06484641638225257,0.17176266987204825
NURSE,E4_1587302737,14,5.428571428571429,3.0,0.18421052631578946,0.6077919115989334
NURSE,6D_1595339521,11,7.909090909090909,5.0,0.12643678160919541,0.5608538342455867
NURSE,7A_1587643240,93,7.419354838709677,2.0,0.13478260869565217,1.4276939712476828e-08
NURSE,6D_1595523837,27,4.518518518518518,3.0,0.2213114754098361,0.2078888422928833
NURSE,DF_1594991923,28,13.428571428571429,4.5,0.07446808510638298,0.0621315535171334
NURSE,7E_1603719136,22,5.863636363636363,3.5,0.17054263565891473,0.15670081300060856
NURSE,EG_1603972494,32,10.78125,4.5,0.0927536231884058,0.04013412462252963
NURSE,F5_1594647650,18,19.666666666666668,12.0,0.05084745762711864,0.5171473772447437
NURSE,6B_1590172247,25,8.72,3.0,0.1146788990825688,0.039852515111826525
NURSE,83_1604314003,10,12.5,7.0,0.08,0.9451144523569843
NURSE,DF_1595337957,32,12.09375,5.0,0.082687338501292,0.032047841979174874
NURSE,F5_1594671025,10,2.4,2.0,0.4166666666666667,0.15392755254384172
NURSE,15_1595334888,18,6.444444444444445,4.0,0.15517241379310345,0.3878058676446098
