dataset,subject,n_gaps,mean_gap,median_gap,hazard_rate,ks_expon_p
WESAD,S7,10,2.1,1.0,0.47619047619047616,0.08467044275678681
EXAM,S10,10,9.0,2.0,0.1111111111111111,0.05822612078751943
EXAM,S2,20,23.45,3.5,0.042643923240938165,1.2033868178503346e-05
EXAM,S4,14,4.071428571428571,1.0,0.2456140350877193,0.0451975734545329
EXAM,S5,44,2.909090909090909,1.5,0.34375,0.0008594733876673422
EXAM,S5,30,3.6333333333333333,1.0,0.27522935779816515,0.008998490838723283
EXAM,S7,44,3.4318181818181817,2.0,0.2913907284768212,0.005773984179895941
EXAM,S7,14,2.0,1.0,0.5,0.018269668744958834
EXAM,S8,35,5.057142857142857,2.0,0.1977401129943503,0.0025092153281929264
EXAM,S8,26,4.115384615384615,2.0,0.2429906542056075,0.07199591185693699
EXAM,S9,38,4.342105263157895,2.0,0.23030303030303031,0.05680094448430739
EXAM,S9,29,4.724137931034483,2.0,0.2116788321167883,0.011007907460419797
NURSE,15_1594220239,15,12.2,8.0,0.0819672131147541,0.9745030923763098
NURSE,15_1594380033,14,9.142857142857142,5.5,0.109375,0.6436182073839832
NURSE,15_1595433234,14,4.714285714285714,2.5,0.21212121212121213,0.3231462797855209
NURSE,15_1595446619,8,4.75,1.5,0.21052631578947367,0.35055874294890366
NURSE,15_1595608145,13,5.0,1.0,0.2,0.05448140226922882
NURSE,15_1595953571,12,15.5,4.0,0.06451612903225806,0.04664622573674304
NURSE,15_1596037241,12,16.833333333333332,3.0,0.05940594059405941,0.0008785630002112317
NURSE,15_1596222922,11,8.818181818181818,1.0,0.1134020618556701,0.01907871413465534
NURSE,15_1596551659,14,16.142857142857142,2.0,0.061946902654867256,2.0803522849276402e-08
NURSE,15_1596564517,10,12.2,4.5,0.0819672131147541,0.23262138659529552
NURSE,15_1596636683,14,12.642857142857142,4.5,0.07909604519774012,0.03893087717689703
NURSE,15_1596653112,11,9.0,3.0,0.1111111111111111,0.14032357730412182
NURSE,5C_1587297777,27,19.037037037037038,2.0,0.052529182879377426,3.3662920465447427e-09
NURSE,5C_1588974475,10,1.2,1.0,0.8333333333333334,0.001514213452505463
NURSE,5C_1589199875,9,39.111111111111114,4.0,0.025568181818181816,0.0047474051855047475
NURSE,5C_1589286789,14,4.214285714285714,2.5,0.23728813559322035,0.4946703971932641
NURSE,5C_1589298448,31,15.419354838709678,5.0,0.06485355648535565,0.006235986409397598
NURSE,5C_1589803857,17,36.05882352941177,2.0,0.027732463295269166,2.1131755805609085e-06
NURSE,5C_1589889161,19,31.210526315789473,7.0,0.03204047217537943,0.027215658618377048
NURSE,5C_1592926305,22,14.0,2.0,0.07142857142857142,0.0006727470844009042
NURSE,5C_1593094946,11,1.8181818181818181,2.0,0.55,0.026653080821227748
NURSE,6B_1588970444,43,4.046511627906977,2.0,0.2471264367816092,1.6757975375626494e-05
NURSE,6B_1590172247,10,24.3,8.5,0.0411522633744856,0.3305784277585907
NURSE,6B_1592925729,10,9.2,3.5,0.10869565217391305,0.10227630906578256
NURSE,6B_1592996203,20,18.4,6.0,0.05434782608695653,0.017408515722692974
NURSE,6B_1593091155,15,9.666666666666666,3.0,0.10344827586206898,0.011216141034292137
NURSE,6B_1593191957,12,7.916666666666667,1.0,0.12631578947368421,0.006803340187137685
NURSE,6B_1593427701,9,17.77777777777778,4.0,0.056249999999999994,0.05779415986668246
NURSE,6B_1593437366,10,2.9,3.0,0.3448275862068966,0.30051301731517677
NURSE,6B_1593514692,21,12.714285714285714,2.0,0.07865168539325842,5.986981694722135e-07
NURSE,6D_1594998483,47,4.085106382978723,1.0,0.24479166666666669,3.090711046924359e-05
NURSE,6D_1595523837,18,7.722222222222222,5.5,0.12949640287769784,0.924561815768758
NURSE,7A_1587228286,9,21.0,4.0,0.047619047619047616,0.0054961689168671396
NURSE,7A_1587556854,8,44.25,31.0,0.022598870056497175,0.12646436346792678
NURSE,7A_1588977047,10,3.4,2.0,0.29411764705882354,0.45778356241709184
NURSE,7A_1589025873,31,8.161290322580646,1.0,0.12252964426877469,1.8574858896291697e-07
NURSE,7A_1592926372,10,9.2,3.5,0.10869565217391305,0.4972379028212085
NURSE,7A_1593177044,15,12.533333333333333,12.0,0.0797872340425532,0.255433414215122
NURSE,7A_1593192268,23,6.826086956521739,2.0,0.1464968152866242,0.004282320515274773
NURSE,7A_1593534070,9,12.11111111111111,7.0,0.08256880733944955,0.1393864615611149
NURSE,7A_1593609973,17,7.882352941176471,2.0,0.12686567164179105,0.0665464345728265
NURSE,7A_1593709119,16,11.9375,4.0,0.08376963350785341,0.1390301743446022
NURSE,7A_1594043417,10,9.6,1.5,0.10416666666666667,0.0003970493841939299
