n,regime,nominal,calibrated
100,strong,1.0,0.0
100,strong,1.0,1.0
100,strong,1.0,1.0
100,strong,1.0,1.0
100,strong,1.0,1.0
100,strong,1.0,1.0
100,strong,1.0,1.0
100,strong,1.0,1.0
100,moderate,1.0,1.0
100,moderate,1.0,0.0
100,moderate,1.0,1.0
100,moderate,1.0,1.0
100,moderate,1.0,0.0
100,moderate,1.0,1.0
100,moderate,1.0,1.0
100,moderate,1.0,1.0
100,weak,0.0,0.0
100,weak,1.0,0.0
100,weak,1.0,0.0
100,weak,1.0,0.0
100,weak,1.0,1.0
100,weak,1.0,0.0
100,weak,0.0,0.0
100,weak,0.0,0.0
100,marginal,0.0,0.0
100,marginal,1.0,0.0
100,marginal,0.0,0.0
100,marginal,1.0,0.0
100,marginal,1.0,0.0
100,marginal,1.0,0.0
100,marginal,1.0,0.0
100,marginal,0.0,0.0
150,strong,1.0,1.0
150,strong,1.0,1.0
150,strong,1.0,1.0
150,strong,1.0,0.0
150,strong,1.0,1.0
150,strong,1.0,1.0
150,strong,1.0,1.0
150,strong,1.0,1.0
150,moderate,1.0,1.0
150,moderate,1.0,0.0
150,moderate,1.0,1.0
150,moderate,0.0,0.0
150,moderate,1.0,0.0
150,moderate,1.0,1.0
150,moderate,1.0,1.0
150,moderate,1.0,0.0
150,weak,0.0,0.0
150,weak,0.0,0.0
150,weak,1.0,1.0
150,weak,0.0,0.0
150,weak,1.0,0.0
150,weak,0.0,0.0
150,weak,1.0,0.0
150,weak,0.0,0.0
150,marginal,0.0,0.0
150,marginal,0.0,0.0
150,marginal,0.0,0.0
150,marginal,1.0,0.0
150,marginal,1.0,0.0
150,marginal,1.0,1.0
150,marginal,0.0,0.0
150,marginal,0.0,0.0
200,strong,1.0,1.0
200,strong,1.0,1.0
200,strong,1.0,1.0
200,strong,1.0,1.0
200,strong,1.0,1.0
200,strong,1.0,1.0
200,strong,1.0,1.0
200,strong,1.0,1.0
200,moderate,1.0,1.0
200,moderate,1.0,1.0
200,moderate,1.0,1.0
200,moderate,1.0,1.0
200,moderate,1.0,1.0
200,moderate,1.0,1.0
200,moderate,1.0,1.0
200,moderate,1.0,1.0
200,weak,1.0,0.0
200,weak,0.0,0.0
200,weak,1.0,1.0
200,weak,1.0,1.0
200,weak,1.0,0.0
200,weak,1.0,0.0
200,weak,1.0,1.0
200,weak,1.0,0.0
200,marginal,0.0,0.0
200,marginal,1.0,1.0
200,marginal,1.0,0.0
200,marginal,1.0,0.0
200,marginal,0.0,0.0
200,marginal,1.0,1.0
200,marginal,0.0,0.0
200,marginal,1.0,0.0
300,strong,1.0,1.0
300,strong,1.0,1.0
300,strong,1.0,1.0
300,strong,1.0,1.0
300,strong,1.0,1.0
300,strong,1.0,1.0
300,strong,1.0,1.0
300,strong,1.0,1.0
300,moderate,1.0,1.0
300,moderate,1.0,1.0
300,moderate,1.0,1.0
300,moderate,1.0,1.0
300,moderate,1.0,1.0
300,moderate,1.0,1.0
300,moderate,1.0,1.0
300,moderate,1.0,1.0
300,weak,1.0,0.0
300,weak,1.0,0.0
300,weak,1.0,1.0
300,weak,1.0,1.0
300,weak,1.0,1.0
300,weak,1.0,0.0
300,weak,1.0,1.0
300,weak,1.0,0.0
300,marginal,1.0,1.0
300,marginal,1.0,0.0
300,marginal,1.0,0.0
300,marginal,1.0,1.0
300,marginal,1.0,0.0
300,marginal,0.0,0.0
300,marginal,1.0,0.0
300,marginal,1.0,0.0
500,strong,1.0,1.0
500,strong,1.0,1.0
500,strong,1.0,1.0
500,strong,1.0,1.0
500,strong,1.0,1.0
500,strong,1.0,1.0
500,strong,1.0,1.0
500,strong,1.0,1.0
500,moderate,1.0,1.0
500,moderate,1.0,1.0
500,moderate,1.0,1.0
500,moderate,1.0,1.0
500,moderate,1.0,1.0
500,moderate,1.0,1.0
500,moderate,1.0,1.0
500,moderate,1.0,1.0
500,weak,1.0,0.0
500,weak,1.0,1.0
500,weak,1.0,1.0
500,weak,1.0,1.0
500,weak,1.0,1.0
500,weak,1.0,1.0
500,weak,1.0,0.0
500,weak,1.0,1.0
500,marginal,1.0,0.0
500,marginal,1.0,0.0
500,marginal,1.0,0.0
500,marginal,0.0,0.0
500,marginal,1.0,0.0
500,marginal,1.0,1.0
500,marginal,1.0,1.0
500,marginal,1.0,0.0
1000,strong,1.0,1.0
1000,strong,1.0,1.0
1000,strong,1.0,1.0
1000,strong,1.0,1.0
1000,strong,1.0,1.0
1000,strong,1.0,1.0
1000,strong,1.0,1.0
1000,strong,1.0,1.0
1000,moderate,1.0,1.0
1000,moderate,1.0,1.0
1000,moderate,1.0,1.0
1000,moderate,1.0,1.0
1000,moderate,1.0,1.0
1000,moderate,1.0,1.0
1000,moderate,1.0,1.0
1000,moderate,1.0,1.0
1000,weak,1.0,1.0
1000,weak,1.0,1.0
1000,weak,1.0,1.0
1000,weak,1.0,1.0
1000,weak,1.0,1.0
1000,weak,1.0,1.0
1000,weak,1.0,1.0
1000,weak,1.0,1.0
1000,marginal,1.0,1.0
1000,marginal,1.0,1.0
1000,marginal,1.0,1.0
1000,marginal,1.0,1.0
1000,marginal,1.0,1.0
1000,marginal,1.0,1.0
1000,marginal,1.0,1.0
1000,marginal,1.0,1.0
