n,regime,n_rep,power_nominal,power_calibrated,ci_lo,ci_hi,source
100,moderate,100,0.87,0.64,0.542352199811621,0.7272892540950986,e0_power_size.csv
200,moderate,100,0.97,0.76,0.6676748127670786,0.8330878873454004,e0_power_size.csv
500,moderate,100,1.0,1.0,0.963005192523998,0.9999999999999998,e0_power_size.csv
1000,moderate,100,1.0,1.0,0.963005192523998,0.9999999999999998,e0_power_size.csv
100,strong,100,1.0,0.96,0.9016278276739262,0.9843369494481519,e0_power_size.csv
200,strong,100,1.0,1.0,0.963005192523998,0.9999999999999998,e0_power_size.csv
500,strong,100,1.0,1.0,0.963005192523998,0.9999999999999998,e0_power_size.csv
1000,strong,100,1.0,1.0,0.963005192523998,0.9999999999999998,e0_power_size.csv
100,weak,100,0.55,0.12,0.06999337365267776,0.1981226800290837,e0_power_size.csv
200,weak,100,0.77,0.24,0.16691211265459965,0.3323251872329213,e0_power_size.csv
500,weak,100,0.98,0.72,0.6251178763865428,0.7986044083240162,e0_power_size.csv
1000,weak,100,1.0,1.0,0.963005192523998,0.9999999999999998,e0_power_size.csv
