phi,ac1,rw,iaaft
0.0,0.0071922893404651,0.0,0.0
0.0,-0.0412011151737869,0.0,0.0
0.0,0.0323633435645733,0.0,0.0
0.0,-0.0289589760603586,0.0,0.0
0.3,0.2604276792372457,0.0,0.0
0.3,0.4120388619383838,0.0,0.0
0.3,0.2023437029535616,0.0,0.0
0.3,0.3349596318438438,0.0,0.0
0.5,0.4244903463040085,0.0,0.0
0.5,0.3775851376610716,0.0,0.0
0.5,0.495518195523169,0.0,0.0
0.5,0.4054736240245433,0.0,0.0
0.7,0.7338991855053967,0.0,0.0
0.7,0.8057755428328178,0.0,0.0
0.7,0.6886630156613675,0.0,0.0
0.7,0.7276096172748046,0.0,0.0
0.85,0.8409925516584621,0.0,0.0
0.85,0.8917251498652288,0.0,0.0
0.85,0.8242104810550436,0.0,0.0
0.85,0.7770546660054163,0.0,0.0
0.95,0.923636645538236,1.0,0.0
0.95,0.9278058597152242,0.0,0.0
0.95,0.9451986743779492,0.0,0.0
0.95,0.9486204124556298,0.0,0.0
0.98,0.9689478425530345,0.0,0.0
0.98,0.985114772445249,0.0,0.0
0.98,0.972125427911009,0.0,0.0
0.98,0.9289396154633998,0.0,0.0
0.995,0.9593136370074036,0.0,0.0
0.995,0.9644323850041674,0.0,0.0
0.995,0.981037218093598,0.0,0.0
0.995,0.9813951065011308,1.0,0.0
1.0,0.9935221786589128,0.0,0.0
1.0,0.9820404883969552,0.0,0.0
1.0,0.9817513556392328,0.0,0.0
1.0,0.990204224552356,0.0,0.0
