sigma,drive_scale,detected
0.1,0.5,0.0
0.1,0.5,1.0
0.1,0.5,1.0
0.1,0.5,1.0
0.1,1.0,1.0
0.1,1.0,1.0
0.1,1.0,1.0
0.1,1.0,1.0
0.1,1.5,1.0
0.1,1.5,1.0
0.1,1.5,1.0
0.1,1.5,1.0
0.2,0.5,1.0
0.2,0.5,1.0
0.2,0.5,0.0
0.2,0.5,0.0
0.2,1.0,1.0
0.2,1.0,1.0
0.2,1.0,1.0
0.2,1.0,1.0
0.2,1.5,1.0
0.2,1.5,1.0
0.2,1.5,1.0
0.2,1.5,1.0
0.3,0.5,1.0
0.3,0.5,1.0
0.3,0.5,1.0
0.3,0.5,1.0
0.3,1.0,1.0
0.3,1.0,1.0
0.3,1.0,1.0
0.3,1.0,1.0
0.3,1.5,1.0
0.3,1.5,1.0
0.3,1.5,1.0
0.3,1.5,1.0
0.45,0.5,1.0
0.45,0.5,1.0
0.45,0.5,1.0
0.45,0.5,1.0
0.45,1.0,1.0
0.45,1.0,1.0
0.45,1.0,1.0
0.45,1.0,1.0
0.45,1.5,1.0
0.45,1.5,1.0
0.45,1.5,1.0
0.45,1.5,1.0
0.6,0.5,1.0
0.6,0.5,1.0
0.6,0.5,1.0
0.6,0.5,1.0
0.6,1.0,1.0
0.6,1.0,1.0
0.6,1.0,1.0
0.6,1.0,1.0
0.6,1.5,1.0
0.6,1.5,1.0
0.6,1.5,1.0
0.6,1.5,1.0
