sigma,drive_scale,n_rep,detection_rate,ci_lo,ci_hi
0.1,0.5,4,0.75,0.30063605244263664,0.9544139373553638
0.1,1.0,4,1.0,0.5100999795960008,1.0
0.1,1.5,4,1.0,0.5100999795960008,1.0
0.2,0.5,4,0.5,0.15003570882017145,0.8499642911798285
0.2,1.0,4,1.0,0.5100999795960008,1.0
0.2,1.5,4,1.0,0.5100999795960008,1.0
0.3,0.5,4,1.0,0.5100999795960008,1.0
0.3,1.0,4,1.0,0.5100999795960008,1.0
0.3,1.5,4,1.0,0.5100999795960008,1.0
0.45,0.5,4,1.0,0.5100999795960008,1.0
0.45,1.0,4,1.0,0.5100999795960008,1.0
0.45,1.5,4,1.0,0.5100999795960008,1.0
0.6,0.5,4,1.0,0.5100999795960008,1.0
0.6,1.0,4,1.0,0.5100999795960008,1.0
0.6,1.5,4,1.0,0.5100999795960008,1.0
